MS:1000894_[sec]	MS:1000285
26.772	340455.875
174.672	164795.1875
276.672	175232.234375
343.272	424393.65625
399.072	407520.96875
454.272	408779.3125
509.478	382069.6875
565.272	266803.21875
623.472	281144.09375
681.072	249548.421875
737.478	203985.890625
795.072	229633.3125
852.678	237126.546875
909.672	267589.03125
966.072	190931.421875
1023.078	235834.59375
1080.672	207495.1875
1135.272	206077.9375
1192.272	251883.703125
1246.872	217177.15625
1302.672	206922.5
1357.872	210872.375
1413.672	218972.65625
1468.872	222834.09375
1524.672	215405.953125
1580.472	198859.234375
1636.272	196169.53125
1692.072	194696.859375
1747.872	203577.6875
1804.272	204750.25
1860.09	190187.140625
1917.672	169518.859375
1972.272	191156.09375
2028.072	163918.4375
2085.672	173348.875
2142.072	177598.75
2198.472	167166.96875
2255.472	165719.828125
2311.89	164284.828125
2368.878	138977.671875
2425.872	154703.6875
2482.872	138774.640625
2540.472	134385.3125
2596.878	149349.09375
2653.872	156741.421875
2710.872	151294.578125
2767.272	158873.5
2824.272	149150.25
2881.878	152758.109375
2937.072	134859.6875
2993.472	161362.421875
3049.278	132291.328125
3105.672	144932.15625
3161.472	137890.953125
3217.272	146169.890625
3272.472	163066.625
3327.072	181363.234375
3381.672	185182.09375
3435.672	165079.296875
3489.072	173069.234375
3550.056	155324.796875
3601.308	190928.4375
3657.696	331309.09375
3715.29	403792.09375
3772.896	626220.625
3829.938	672002.8125
3887.496	631332.6875
3943.89	614928.5625
4000.89	611900.1875
4058.496	440343.09375
4115.508	294353.90625
4173.09	194003.375
4231.29	130575.90625
4289.49	106379.2265625
4348.296	89730.2578125
4408.896	144652.78125
4468.89	150282.046875
4530.69	156880.59375
4592.496	129434.890625
4654.896	137086.15625
4717.89	115761.984375
4779.69	132222.8125
4843.296	123415.046875
4908.096	127190.46875
4972.296	126198.140625
5037.09	123402.2890625
5101.89	118466.6875
5166.696	126959.5859375
5230.89	120574.6953125
5295.09	113660.0703125
5359.896	127779.921875
5424.096	131145.40625
5489.286	108853.4453125
5545.272	113128.3203125
5602.872	123571.7578125
5661.072	111764.8203125
5719.266	112814.3046875
5778.672	89525.8203125
5839.872	117914.015625
5899.872	121374.359375
5961.072	123724.265625
6022.272	116832.3203125
6084.072	117072.9375
6146.472	124438.3671875
6208.872	112438.8984375
6271.872	122847.96875
6334.272	133011.265625
6396.672	122246.6953125
6460.278	125477.8125
6522.072	126337.265625
6585.678	120646.9296875
6649.272	121727.4375
6713.478	129155.0625
6777.072	137065.703125
6842.472	136818.359375
6905.472	127160.1640625
6969.678	122999.8671875
7035.072	132336.1875
7099.878	129444.265625
7164.672	133424.09375
7229.472	137261.734375
7294.272	127863.2578125
7360.284	129765.9921875
7425.672	131674.828125
7491.072	140382.34375
7558.272	137429.890625
7622.478	134690.5
7689.072	129461.390625
7755.072	107394.1171875
7824.672	135511.640625
7891.278	165149.375
7954.872	133565.59375
8021.472	134682.953125
8087.472	140300.09375
8156.478	132424.984375
8221.878	139960.9375
8289.072	134354.203125
8356.272	146896.203125
8423.472	134683.828125
8491.272	135758.9375
8559.072	133434.15625
8627.478	132390.078125
8695.872	138464.40625
8764.272	137518.390625
8833.272	144622.484375
8901.072	150389.84375
8968.872	141532.40625
9037.272	139664.109375
9106.884	140806.53125
9175.272	141707.375
9244.872	144928.921875
9313.272	147168.921875
9383.472	142651.1875
9453.072	149316.515625
9523.272	153788.109375
9592.872	134153.8125
9663.678	141153.4375
9734.478	145730.453125
9804.666	137870.34375
9874.272	149918.25
9943.872	144028.953125
10014.072	150805.203125
10084.272	164363.9375
10151.472	151203.046875
10220.472	151096.65625
10290.072	150321.625
10360.272	155580.265625
10429.89	149998.3125
10500.678	150313.53125
10571.472	152090.859375
10642.272	146177.6875
10712.472	149695.140625
10783.272	151429.8125
10854.072	139772.96875
10926.672	149164.515625
10998.684	133590.0625
11071.272	108196.828125
11146.872	157368.046875
11217.072	159083.5
11286.672	174019.28125
11353.872	150565.59375
11424.072	153631.171875
11494.872	146659.71875
11565.072	154742.3125
11635.272	150565.015625
11704.878	143651.46875
11775.672	154779.625
11845.266	159029.75
11916.072	157051.15625
11985.672	151186.34375
12056.472	156241.015625
12127.872	151692.125
12200.472	153453.71875
12271.272	150242.109375
12342.672	147601.390625
12414.672	149004.921875
12487.278	150112.484375
12559.872	160837.75
12630.672	158661.765625
12702.078	149851.34375
12774.672	121339.6484375
12850.272	159616.75
12921.672	152049.921875
12994.872	149764.71875
13066.272	144703.8125
13138.272	157438.4375
13209.672	174628.984375
13279.278	149068.609375
13351.272	160381.84375
13421.484	148999.109375
13493.472	153918.9375
13564.872	148891.40625
13636.872	155364.65625
13707.078	147941.046875
13779.072	148109.328125
13850.514	118721.75
13925.472	166542.75
13993.872	150805.296875
14063.472	150348.453125
14133.672	163455.109375
14202.672	140625.703125
14274.072	150919.5625
14342.472	629405.875
14410.272	2509406.25
14472.672	5973765
14527.884	8269631.5
14580.546	206.923904418945
15025.908	367.826080322266
15584.496	7693088.5
15615.672	9002336
15659.832	1081.33215332031
15725.934	5151.8427734375
15789.282	846.190307617188
15882.198	6257.69091796875
16036.146	7710663
16074.096	8002875
16130.154	8743.7529296875
16206.702	690.870727539062
16305.744	7874726.5
16342.428	350.4375
16500.744	7268951.5
16537.614	10199.5927734375
16605.138	7501240.5
16642.89	7229128.5
16701.09	7338946
16759.29	7109236
16818.09	7434211
16875.69	7226739.5
16933.176	7688.12158203125
17006.994	314.023406982422
17081.424	717.962219238281
17194.038	6848973
17225.472	6814411.5
17277.078	7150155.5
17329.272	6937431.5
17381.472	7013063.5
17434.272	6493620
17485.872	6985969
17538.072	7007429
17583.768	3511.49267578125
17677.674	988.3564453125
17820.702	6236868
17851.872	6626468
17904.072	6721205
17956.278	6544627
18007.872	6665000.5
18060.672	6833131.5
18112.272	6426379.5
18163.872	6282204.5
