MS:1000894_[sec]	MS:1000285	S/N	peak_count
0.4639	43030	5.61563	110
2.9294	1065130	4.00765	2300
5.7494	7666207	2.41163	5351
7.0794	16693744	2.2191	4566
8.09950000000002	23020632	2.16805	4444
9.0495	29239742	2.13931	4299
9.9594	28269464	2.19884	4155
10.8896	40785988	2.20587	4839
11.7795	30167504	2.18543	4253
12.6895	35904488	2.15755	4819
13.6095	36749008	2.15934	4787
14.5095	33404182	2.19597	5179
15.4594	34813480	2.15073	5535
16.3697	38068364	2.14773	5345
17.2797	43520024	2.17231	5844
18.1995	45754600	2.1502	5671
19.1094	44765384	2.20174	5944
20.0194	44959280	2.15714	5719
20.9295	43866264	2.11906	5403
21.8295	51254832	2.17351	6059
22.7294	51902912	2.13426	5657
23.6294	52284436	2.15171	5732
24.5195	50655684	2.15498	5622
25.4195	46710252	2.15177	5457
26.3195	47513464	2.12531	5368
27.2302	45390376	2.12964	5414
28.1194	42476804	2.12276	5381
29.0195	41093500	2.13451	5245
29.9295	36967248	2.09122	5059
30.8395	35159356	2.13147	4945
31.7494	32790414	2.10867	4652
32.6595	33597880	2.08962	4818
33.5695	30105710	2.06544	4425
34.4895	29024242	2.07206	4322
35.4095	25617914	2.08921	4206
36.3295	24047114	2.08339	3914
37.2495	22050244	2.09299	3969
38.1795	19649448	2.04442	3627
39.1095	19815840	2.03834	3774
40.0494	18053762	2.04942	3478
40.9795	17318672	2.05532	3291
41.9195	15415438	2.03343	3178
42.8597	15192603	2.04518	3149
43.7994	14638703	2.01255	3153
44.7494	14677472	1.98622	3195
45.6895	14866199	2.02815	3269
46.6395	14652688	2.03176	3283
47.5795	14220222	1.98427	3075
48.5294	14720152	2.02712	3125
49.4694	14866651	2.02396	3222
50.4195	14128308	2.01028	2846
51.3695	15172478	2.01467	3009
52.2995	15374374	2.02412	3076
53.2295	15446557	1.99745	2842
54.1495	15817177	2.04263	2886
55.0795	17733664	2.09132	2869
55.9895	19778192	2.07225	2808
56.8994	20158214	2.08193	2728
57.7894	20496796	2.09449	2247
58.6795	25022508	2.12486	2087
59.6757	29253034	2.08804	1848
60.5098000000002	28289862	2.12152	1493
61.4598	33774372	2.13086	1523
62.4199000000002	33057246	2.06185	1451
63.3798	32163334	2.03882	1257
64.2997999999998	29772844	2.03027	1129
65.2498999999998	35663744	2.04783	1086
66.1897999999998	30353532	2.0419	1024
67.1298	28890206	1.98877	1029
68.0799	24727418	2.00193	1071
69.0298000000002	19330940	1.93531	1157
69.9798	17322024	2.05578	1195
70.9398	13091488	1.97889	1218
71.9197999999998	11207195	1.96162	1300
72.9097999999998	8059537	1.93185	1213
73.8999	7293689	1.86698	1261
74.9098000000002	7131094	1.94221	1345
75.9298000000002	6015097	1.95965	1228
76.9597999999998	5534703	1.97624	1262
77.9898	4983327	1.95405	1184
79.0297999999998	4681061	1.93682	1232
80.0899000000002	4858428	2.02499	1277
81.1398	4286308	2.02617	1194
82.1998000000002	4103231	2.00072	1196
83.2698	3776221	2.03701	1149
84.3498	4248669	1.99889	1280
85.4298	4340752	1.99471	1272
86.4898000000002	4569238	2.02566	1354
87.5497999999998	4827375	2.03393	1396
88.6300000000002	4880060	2.00242	1410
89.7163999999998	5014214	1.9902	1460
90.6594	4191268	1.9967	1270
91.6195000000002	4206272	1.99289	1349
92.5897000000002	4045800	1.98063	1294
93.5794999999998	3493226	1.99273	1155
94.5495	3280469	1.98992	1180
95.5393999999998	3145718	2.13063	1183
96.5497000000002	2836720	2.07771	1135
97.5595000000002	2890656	2.10053	1145
98.5794	2714167	2.13225	1113
99.5995999999998	2220258	2.30853	977
100.6398	2267496	2.21171	1032
101.6797	2130817	2.23266	955
102.7295	2264240	2.28205	1005
103.7694	1981120	2.38221	888
104.8195	2117294	2.38489	945
105.8795	1913939	2.48417	875
106.9396	2023376	2.47277	837
107.9794	1829820	2.48005	849
109.0495	1843211	2.54429	858
110.1095	2501920	2.40805	873
111.1095	1695997	2.5771	809
112.1794	1674663	2.62899	792
113.2695	1706562	2.60286	830
114.3397	1661569	2.69239	831
115.4195	1577559	2.61827	776
116.4994	1483171	2.69651	745
117.5995	1548962	2.77062	738
118.6795	1699588	2.77483	860
119.7795	1560202	2.70996	776
120.8694	1481622	2.92576	704
121.9795	1647415	2.77568	773
123.0595	1495713	2.98071	735
124.1694	1484299	2.8996	757
125.2796	1693016	2.87962	766
126.3595	1469991	3.00764	730
127.4695	1367682	2.90886	732
128.5894	1413371	2.96487	758
129.7094	1437755	3.05162	710
130.8195	1245455	3.24645	611
131.9495	1321801	3.18957	695
133.0903	1267817	3.36139	609
134.2195	1343754	3.34891	641
135.3395	1418494	3.36385	686
136.4595	1377593	3.35777	692
137.5894	1256249	3.37963	679
138.7497	1208049	3.53102	614
139.9095	1248636	3.62468	638
141.0694	1351701	3.55766	680
142.2196	1259826	3.7271	587
143.3597	1139685	3.76456	557
144.5297	1147886	3.81667	584
145.6994	1194885	3.96246	604
146.8795	1131598	3.8051	576
148.0495	1120657	4.15471	552
149.2294	1142275	4.02805	570
150.3995	1132262	4.04897	584
151.5896	1161601	3.70824	608
152.7695	1097004	4.25422	538
153.9498	1303252	4.23028	529
155.0694	1127052	4.20943	571
156.2595	1125362	4.14008	595
157.4497	1081672	4.33122	544
158.6595	1101315	4.35677	536
159.8394	1107985	4.29496	546
161.0296	1092331	4.35886	539
162.2295	1150058	4.24505	558
163.4094	1062536	4.77617	495
164.5995	1116951	4.35819	579
165.7995	1067046	4.77026	505
167.0094	948218	4.84498	475
168.2495	1092126	4.6775	555
169.4495	993976	4.96417	471
170.6694	1026397	5.01538	477
171.8794	1064216	5.0373	484
173.0895	1094589	4.79057	524
174.2895	1096362	5.41759	487
175.4994	919367	4.91588	502
176.7695	1067562	4.98467	538
178.0095	1007585	5.38421	493
179.2494	939423	5.72491	418
180.4894	1028237	5.13141	522
181.7195	938150	5.57608	435
182.9694	1026444	5.90537	431
184.1894	1034546	5.10998	508
185.4395	1019346	5.72814	445
186.6295	1016942	5.49939	469
187.8494	1045103	5.58766	428
189.0594	1093516	5.35215	460
190.2495	1059676	5.52955	472
191.4495	974252	5.34288	470
192.6794	1088677	5.59169	421
193.8495	1051112	5.54032	426
195.0397	1064693	5.62234	436
196.2194	1088192	5.41093	474
197.4294	944363	5.96422	410
198.6295	1119875	5.71849	421
199.8095	983675	5.88101	413
201.0195	976958	5.83296	417
202.2295	1061016	5.8113	426
203.4195	1017967	6.05094	394
204.6195	1028685	5.75294	461
205.8394	945291	6.55338	362
207.0497	1028584	6.48184	388
208.2595	995361	6.58825	364
209.4794	1053522	6.03021	412
210.6495	961098	7.00622	334
211.8395	1026466	6.478	391
213.0294	946871	6.41591	371
214.2395	953957	6.70858	343
215.4595	984333	6.4384	373
216.6395	1011227	6.30003	410
217.8495	985318	7.15603	344
219.0597	995362	7.16388	344
220.2502	995776	6.81634	370
221.4694	1040649	6.56567	382
222.6394	961863	6.56934	371
223.8395	965251	6.8287	341
225.0295	956723	7.32979	331
226.2195	976370	7.65701	319
227.4195	980193	6.34564	392
228.6195	932571	7.26652	316
229.8194	993035	7.14841	345
231.0195	968848	6.55402	351
232.2002	994799	6.61874	373
233.3995	1043990	6.46246	387
234.5794	971655	7.2972	310
235.7595	1013085	6.72425	342
236.9195	959095	6.52361	350
238.1094	997812	6.58717	348
239.2795	988228	6.70656	331
240.4395	940879	6.739	326
241.5995	1048569	6.24386	361
242.7494	1529707	10.2607	345
243.8894	4075588	20.3489	382
244.9895	10254526	25.2109	490
245.9795	19091600	28.5658	500
246.9094	27150028	27.8436	529
247.8195	30330132	26.9332	535
255.3699	38165848	25.1051	593
255.9094	40573200	23.7423	582
256.7797	38980236	24.7477	568
262.4301	35338776	26.1602	572
268.6599	34115968	28.8268	524
269.1994	37137384	26.1511	557
275.87	31249664	28.1014	560
276.4195	35333560	27.4106	519
277.2903	34157476	26.4519	559
280.0899	30106220	29.4734	497
286.8	26532860	30.7873	488
297.6699	23991032	31.4319	454
298.2295	26285980	30.1325	485
299.1295	27928886	30.3715	492
300.0295	24781684	30.131	486
314.1399	21657558	33.4405	440
314.7095	23850608	30.2963	478
315.6195	24188462	30.5558	505
316.5295	23363284	32.1367	446
317.4497	22916626	31.3693	464
320.3699	20976300	31.7322	481
320.9395	22446928	30.4305	471
321.8595	22760804	30.7482	477
322.7694	22354298	31.5346	448
336.8799	19136244	35.7416	431
347.17	17433642	34.1378	400
357.7799	18891666	30.8302	473
358.3495	20072246	32.5425	426
359.2795	17015732	32.1249	428
360.2194	17489962	31.7776	436
363.9701	15304286	33.6951	418
364.5694	16856662	31.7749	449
372.8799	14135891	32.6749	421
373.4894	15665475	32.5933	423
374.4295	15624275	33.5479	403
375.3695	16099940	33.3612	382
376.3095	14821350	32.6291	398
377.2703	15562795	32.4219	421
378.2095	14621644	32.2197	385
379.1495	15641510	33.2089	402
380.0895	15380393	31.6204	410
381.0395	15177926	31.9554	418
381.9794	15637583	33.4904	406
382.9295	14137439	33.2366	411
383.8795	14367248	32.3118	396
384.8295	14538462	32.7434	392
385.7694	13761795	31.9802	392
386.7294	14728500	32.5543	401
387.6695	14802297	32.7399	401
388.6195	13952884	31.9416	448
389.5995	14823847	31.5311	409
390.5295	13558404	32.4291	356
391.4794	13491651	31.6116	399
392.4395	14318282	33.1944	405
393.4195	14043675	32.6441	422
394.3494	14029277	31.7648	417
395.3095	14931362	33.6728	401
396.2495	12379386	32.7683	401
397.2305	12985332	30.0334	398
398.1695	12741219	32.3167	363
399.1294	12884062	33.4496	358
400.0794	14047748	32.6076	379
401.0397	12782193	31.0298	390
401.9995	13018896	32.1146	374
402.9495	13566968	31.8611	415
403.9194	12319051	31.5293	386
404.8795	12111251	32.067	390
405.8395	12979504	32.0957	371
406.7995	12720166	31.595	407
407.7594	13130916	31.9099	380
408.7095	12339321	31.6799	384
409.6795	14339485	33.4048	390
410.6294	12669623	30.8606	396
411.5894	12492478	32.1303	416
412.5595	12472037	32.5042	375
413.5195	12578065	31.8026	392
425.5699	10655309	35.5529	363
426.2195	12563829	34.1616	383
427.1795	12069296	31.6342	377
428.1494	11484247	33.8896	389
429.1194	11566039	34.534	355
430.0895	11240656	35.5109	325
431.0695	11298384	33.7817	358
432.0394	10867306	35.6647	346
433.0195	11376647	34.5284	333
433.9995	11528664	33.7241	362
434.9695	11423093	31.4724	395
435.9495	11317600	35.2629	332
436.9194	11347149	30.5712	398
437.8894	10591059	33.3107	361
438.8695	10043614	36.4013	336
439.8595	10953578	31.7825	389
440.8394	10943208	32.9837	360
441.8094	11933594	33.0267	358
442.7795	11421543	33.8426	353
443.7495	10415556	35.5968	342
444.7395	10643440	31.431	402
445.7194	10811739	33.647	339
446.6995	10490582	34.1852	357
447.6695	10516686	32.6437	367
448.6595	9416343	32.777	358
449.6494	10212300	31.3888	368
450.6294	9861518	33.111	368
451.6195	10542566	35.7865	314
452.5995	9642666	35.0819	352
453.5995	10220496	33.2721	352
454.5794	9028311	34.2112	355
455.5895	9499728	34.7646	340
456.5695	10051585	34.3902	337
461.8399	9174149	34.6671	315
462.4894	9901524	32.6281	328
463.4595	9066917	33.6444	338
464.4595	9404336	30.7231	374
465.4595	9917981	31.93	355
466.4203	9478685	31.7747	347
467.4095	9042693	31.0792	354
468.3995	8922701	32.5686	349
469.4195	9960287	32.6017	366
470.3695	9220755	33.4981	325
471.3595	10708793	32.1178	374
472.3395	9187507	34.2558	314
473.3395	9598433	34.1315	329
474.2995	8765907	33.353	340
475.2995	9395909	32.1468	360
476.2895	9002706	34.4663	335
477.2895	8981854	33.3238	338
478.2795	8748034	31.7438	331
479.2895	8661587	33.6585	337
480.2695	9691401	32.8386	336
481.2495	8548770	31.6133	353
482.2502	8484115	31.554	353
483.2495	8788148	32.1852	346
484.2495	7861891	32.9051	326
485.2795	8178365	31.5047	343
486.2595	8005479	32.3552	320
487.2596	8344282	30.4552	352
488.2695	7893834	32.0299	334
489.2906	8467074	32.5214	363
490.2795	8063927	31.3865	340
491.2804	8362591	32.6256	355
492.2995	7986849	31.4443	346
