MS:1000894_[sec]	MS:1000285
2.04252678	4769.5366
27.14502672	7891724.5
46.9372284	7267303.5
66.7372284	7775980
83.9284236	170126.78
89.3803212	39677.617
94.8258036	80820.25
100.3381236	87514.367
105.7832424	53363.324
111.2280624	51051.113
116.8003836	23439.314
122.2449012	128266.29
127.6972812	35753.418
134.7836472	7685187.5
160.4952612	25898.336
166.0152024	23930.262
171.4597236	17246.484
178.575606	8011949
204.194826	7866899.5
223.995006	8138626
243.801846	7628901
263.6019684	10012700
283.3792884	9980664
303.1794684	10055238
322.9711884	12484166
342.7342272	9300534
359.9248212	12646.891
365.437152	79638.055
372.530484	8288678
398.489112	13269.37
405.58968	7994960.5
422.78256	43419.066
429.882372	8379510.5
447.075	31780.203
454.182012	10759170
479.94372	10333033
499.737384	7627258.5
519.5439	8493800
536.771088	35156.285
543.858444	9186494
563.64318	7442156
583.434972	8207023.5
603.235224	8376918
620.42616	21251.488
627.51978	7334901
647.28936	6888913.5
667.08882	6482141.5
686.889072	8998131
706.673304	7325805
726.465564	7049726
746.257752	6828044.5
766.057572	7518620
785.857212	7283542.5
805.664412	7716715
825.464232	7286942.5
845.256492	7672112.5
865.05624	7587107
884.81844	7471785
904.581252	6761188.5
921.77316	20686.742
928.903212	7514410.5
954.72504	7877898.5
974.517804	12406595
994.317084	16874432
1011.509028	266236.19
1018.60218	11653750
1038.3714	7456611.5
1058.156352	7138795
1075.35528	13164.609
1082.440764	9393727
1102.211244	9921216
1122.01812	7672982
1141.818084	7854097.5
1161.579852	13294980
1181.379672	10477235
1201.172364	7456615
1220.97906	6817909
1240.7715	7914344
1260.56358	7669946.5
1280.34126	6632115.5
1300.1031	7038257
1319.895324	8171563.5
1339.68762	7590971
1359.479844	7815028.5
1379.272032	6983948
1399.064292	7601806.5
1418.864004	7562615.5
1438.656192	6845175
1455.855372	108962.88
1462.941324	7675450
1488.613104	8714696
1508.405832	7648052
1528.2126	7604314.5
1548.01278	7424930.5
1567.8045	7341563.5
1587.612204	7560889.5
1607.41152	8199712
1627.2117	8621081
1647.0036	7658198
1666.7964	7682480
1686.588012	10608841
1706.380272	8910935
1726.16508	8692738
1745.972244	9275069
1765.742004	9034053
1785.549204	6251918.5
1805.341464	6631617.5
1825.104132	6866359
1844.89686	8418905
1864.695672	7960789.5
1884.503304	8323959
1904.295204	8516173
1921.49424	153084.95
1928.580264	9061652
1954.24668	36462.863
1961.339364	7957112
1978.531632	83232.141
1985.624064	9741272
2002.815972	51887.488
2008.268028	84051.344
2015.361684	9517056
2032.552908	59192.918
2038.065228	28303.266
2043.517608	47593.914
2050.603704	7814586
2067.796548	21898.5
2073.29328	208564.22
2080.392984	7350487
2106.981648	15175.018
2114.075304	6788036
2133.867132	7081817.5
2153.66742	7405985.5
2173.444092	7846967
2193.206832	7797461
2212.969104	7172699.5
2232.768744	7375821
2252.56824	7028068
2272.360824	6451140
2292.160644	6412249
2309.352408	19854.281
2316.45222	7548418
2342.529792	7459912.5
2362.321692	7656436.5
2382.114384	7164532.5
2401.913664	7556801.5
2421.713772	9991278
2441.513664	7705846
2461.30578	6113067
2481.105132	7206257
2500.905384	9428413
2520.682632	7448053.5
2540.48238	8561061
2560.289184	7399115.5
2577.481128	27074.424
2584.573704	10101950
2610.215892	11443716
2630.01564	10375120
2649.815892	8816009
2669.615172	11724750
2689.422372	10071000
2709.214632	13267375
2729.014344	11587316
2748.82158	9235928
2768.621292	8371763
2788.413552	9202979
2805.612228	18999.615
2811.0573	73052.648
2816.562132	46121.051
2823.6555	9419296
2849.434272	6075.7725
2856.52818	11726023
2882.462292	10385113
2902.225104	12753107
2922.017364	7327380
2939.215752	36024.316
2946.30192	10856864
2966.06412	6611109
2985.863904	10822557
3003.063228	13002.229
