MS:1000894_[sec]	MS:1000285	S/N	peak_count
0.034567056	64416	1.28345	18
0.449055054	412070272	36.8723	898
0.76730406	397766144	36.3732	887
1.08517308	401574528	36.1542	914
1.93391706	429754624	36.0751	932
2.83390806	407162816	37.0195	904
3.15202008	421296192	35.6407	915
3.46989906	426996096	36.8074	899
3.78764508	425541696	35.9539	958
4.18138206	394173760	35.4988	944
4.50027108	379059232	34.7298	928
4.81924908	407345344	36.9422	952
5.13812808	409017536	37.1621	914
5.45686506	412968768	36.9201	932
5.77699506	408527136	37.3816	991
6.0967332	416839936	36.7233	915
6.4168698	416811520	37.654	930
6.8112282	425662720	36.3836	948
7.2254658	408277696	37.5029	919
7.5449628	415180864	39.7007	924
7.8648408	390882368	37.4806	967
8.1845802	432253568	38.365	983
8.5043328	412950208	36.8461	971
8.8240788	417216448	37.7667	985
9.1433262	440552768	38.3738	963
9.4636968	424747328	40.1455	966
9.7840662	430452608	38.888	1003
10.104063	431340960	37.7855	957
10.4248002	408809216	35.8107	1010
10.8199182	447233248	36.9151	963
11.2374228	412919648	37.7071	1002
11.5577922	413670912	36.3714	982
11.8777902	432076928	37.2384	997
12.1986522	436993504	37.7652	1017
12.519531	415379168	37.5908	981
12.840024	446451072	37.1752	1027
13.160022	445453664	39.907	981
13.4797668	437638752	37.4238	992
13.799382	453650432	37.8381	974
14.1196332	433255552	36.9012	999
14.4398808	418825824	37.435	979
14.759493	445461216	38.0218	972
15.0799968	435446944	36.4254	997
15.4012332	380168352	38.8272	979
15.72399	345473824	37.7138	1011
16.045224	328185664	39.3942	932
16.3667238	418731872	37.8909	1077
16.6876008	438277376	36.9597	1017
17.0075958	421017152	38.427	1014
17.329587	388209536	38.2108	1006
17.72433	425622048	38.2704	989
18.1408242	410331072	38.1031	1007
18.4625772	374502752	37.9036	1000
18.783192	483026624	37.0977	1026
19.1046852	442034816	39.4623	1062
19.4246832	393369248	38.7765	952
19.819803	461230208	39.6603	1001
20.1399228	410841952	39.799	970
20.464419	351411168	34.891	1088
20.7845388	424832608	38.6279	1011
21.1044102	425585344	36.5323	1032
21.4242798	433027616	38.4404	984
21.744027	472665408	37.9531	1030
22.0651542	416846720	37.2093	984
22.3860282	454484032	39.6353	1020
22.7066442	428358816	38.2868	986
23.0270178	406536128	38.819	933
23.3482638	389013152	39.1857	1009
23.672508	304518464	35.8711	1095
23.994384	362762912	34.9828	1022
24.315999	381322432	35.5054	982
24.6392472	390506656	35.667	1046
24.960993	428832896	36.7857	1033
25.2811128	436931264	39.2143	972
25.603857	365081696	36.1623	1025
25.9243548	431824288	37.4584	925
26.246106	415143104	37.8264	1046
26.5674702	414335968	37.5068	1031
26.8883388	361666400	36.9107	989
27.2112132	369848064	38.9315	1108
27.5338392	394698304	36.4395	1081
27.8560722	409965888	37.4052	1047
28.1769552	422696736	38.0835	1024
28.496697	453653472	36.8896	1025
