MS:1000894_[sec]	MS:1000285	S/N	peak_count
0.0341200752	75813	1.26783	21
0.452116074	33824032	12.2349	896
0.78198708	33817588	12.5623	838
1.11198408	34049196	12.2724	880
2.3375841	32093596	12.2037	828
2.66708808	35749044	12.8196	905
2.99695008	34909400	12.7762	847
3.40169808	29509902	12.2223	799
3.80643906	35321504	13.0446	843
4.21118508	42167680	13.5291	980
4.6398111	33789824	12.8044	851
4.9695561	38443700	13.6321	857
5.29917108	35083712	13.2903	807
5.62867608	48803172	15.0973	921
5.9582871	36796080	12.6768	896
6.287781	31173124	12.3321	834
6.6171618	42696160	13.6131	936
6.9470292	43978628	13.91	935
7.2768942	32152300	13.0382	788
7.60677	31111876	12.9645	819
7.936635	41412196	13.062	975
8.2665108	45400384	14.0891	984
8.596518	42665988	14.358	904
8.9264952	34122764	13.2491	852
9.2563692	28927764	12.1115	786
9.586362	32197638	12.4548	839
9.9163602	34589036	12.6909	847
10.2462312	33335280	12.8268	833
10.576101	34783100	12.5194	895
11.0717202	35310012	12.4826	886
11.5062198	45751336	13.8631	945
11.8362162	39555824	13.4322	911
12.1663392	34653284	12.809	845
12.496209	33817436	13.4178	830
12.826197	32876644	12.2246	862
13.1563188	43470540	13.6381	941
13.4861892	37732056	13.4966	889
13.8911898	36299940	12.953	883
14.4409332	33981772	12.6957	863
14.770425	55272852	15.0487	984
15.100293	39302196	12.7336	947
15.4302942	38488904	12.1937	941
15.7600338	43179612	13.9406	963
16.0901598	37124368	12.9103	941
16.4199	40573592	13.2979	934
16.7497752	38239520	12.566	913
17.0791488	34894580	12.4191	887
17.4085152	34182044	12.7639	861
17.7385152	38032224	12.4461	941
18.068376	37377240	12.7516	881
18.398382	34675684	12.698	880
18.7283682	42183252	13.9378	906
19.058124	34460952	12.8222	868
19.3877418	41539876	13.3726	920
19.7169888	44102912	13.7774	952
20.0469852	35940932	12.5457	901
20.376855	40675704	13.9013	871
20.706843	34024896	12.5443	835
21.0368472	30468846	12.486	801
21.366711	34064600	12.3159	906
21.696591	29630356	12.4906	798
22.0264512	38244988	13.1472	880
22.3564458	35861408	12.5703	900
22.6863258	27787290	12.1867	760
23.016189	35061528	13.2189	823
23.3455602	34515480	12.988	823
23.6754288	40657560	13.4539	906
24.005307	34486224	12.5462	841
24.3352968	39960304	12.777	937
24.6652992	34622520	12.8535	857
24.9952872	35638288	12.396	928
25.325166	42529500	13.0485	936
25.655028	39659172	13.4325	909
25.985031	45819852	13.8726	961
26.3150208	44522168	13.8207	983
26.6450238	44347988	14.4119	925
26.974887	33938088	13.0558	840
27.30489	44538188	13.2534	988
27.6347532	32989828	12.7466	841
27.964758	33709196	12.7565	845
28.29462	40061092	13.6743	861
28.624623	33721884	12.746	858
28.954611	26406872	11.5594	786
29.2846152	40215724	14.4005	869
29.6147268	39020404	12.4376	927
29.9446062	31331862	11.7373	839
30.274593	32150338	12.0923	838
30.6044772	33088752	11.7397	891
30.934467	34791744	12.3489	907
31.2644628	32498664	12.3277	853
31.5947088	32434020	11.9997	896
31.999446	32785238	12.0434	883
32.545938	30449854	12.1807	807
32.9506908	34350308	12.1317	886
33.446301	29833076	12.6118	762
34.034802	33949820	12.2248	880
34.7131668	34634156	12.3112	894
35.042781	34023808	12.3021	885
35.3726592	33819708	12.9643	841
35.702523	38069368	13.2666	908
36.032394	32321994	12.0972	889
36.3623898	34872056	13.1024	837
36.6917598	35197644	12.6428	881
37.0216302	34061144	12.8211	873
37.351509	41544152	13.6745	904
37.6813722	36099340	12.7831	880
38.011248	30476172	13.1714	769
38.3411118	31475924	12.3964	821
38.6709852	32781634	12.6727	853
39.0008538	35960468	12.7283	889
39.330732	36132464	13.1529	862
39.6605958	33327070	12.8187	817
39.9904662	39570312	13.1445	911
40.32048	39609676	13.2144	916
40.8162198	34721864	12.6885	850
41.2463238	33770312	12.3031	879
41.6510688	34299192	12.4331	862
41.9805732	33199268	12.3845	847
42.3105612	36164308	12.4418	932
42.6401898	36889672	12.8048	905
43.0450572	36472640	12.8104	929
43.374798	37361152	12.9382	893
43.7047998	37357080	12.7945	875
44.0346642	36327324	12.8317	865
44.4394158	39960000	13.3441	876
44.7691638	36402416	12.7751	869
45.09915	40093052	13.3398	936
45.42903	52320312	14.4108	1039
45.758892	35974264	12.2933	905
46.0888968	40648872	12.9568	957
46.418757	36602188	12.3312	930
46.7483808	32398816	12.6322	834
47.0783748	36593632	12.357	928
47.408247	36967844	12.5645	883
47.7379908	30484532	11.8347	842
48.2344962	32480290	12.3383	825
48.6591102	28982692	11.93	814
48.9884742	34926200	12.7175	875
49.3183518	30369410	11.8624	829
49.6483482	32006214	12.6292	834
49.9783362	31798236	13.4411	780
50.3082132	33839144	12.3127	877
50.638077	37087456	12.8753	870
50.968074	40467040	13.1757	945
51.2979432	42224488	13.5121	943
51.627816	47252068	14.2666	987
51.95781	37903036	12.9048	913
52.2876822	39110640	13.6237	869
52.692432	29821104	11.9805	848
53.119545	32660896	12.5793	815
53.4494238	38448428	13.1136	915
53.779419	34961296	12.5617	894
54.109281	33865820	12.583	903
54.4391598	32826150	13.0149	823
