MS:1000894_[sec]	MS:1000285
2.047204512	5198.1445
27.12696444	4541418.5
46.9192248	4591253
66.7190448	4307176
83.9188188	87077.422
89.4226212	60775.359
94.9049388	29674.143
100.3495212	38241.18
105.79446	38030.094
111.2472612	28719.896
116.6921388	21192.303
122.20506	8940.2412
127.64952	28287.898
133.1624412	23152.84
140.255046	4203125.5
160.0252848	4983352.5
179.8170048	4699074.5
197.0091	10739.747
204.1018848	3983952.8
221.29362	21790.314
228.3863436	4786412
245.58606	18799.549
252.6711048	6266563
278.388666	4925421
298.173366	5459921
317.9502648	4925887.5
337.7205648	8926552
357.497226	4635490
377.26686	4153138.2
397.029708	5996384.5
416.821752	5999484
436.613652	4612343.5
456.4062	4467416
476.1981	5888103
495.990648	6787992.5
515.79108	6395480
535.589712	4715375.5
555.382152	3862929
575.18172	4233807
594.981612	4573151.5
614.773872	4473442
634.56606	4702960.5
651.75786	242490.73
657.2097	12411.984
664.303212	4926796.5
690.373188	6356211.5
710.172972	5777023
729.980352	4595234
749.77254	4649787
769.57182	4046728.5
789.379128	6344611.5
809.171352	5296080
826.363008	20487.277
833.471388	4882376
859.33242	4848.5762
866.455992	4436990
886.2255	8522779
906.01758	4740837.5
925.817652	4327460
945.602028	6746968
965.409588	4772449
985.194	5515152.5
1004.986512	5009779
1024.748928	4269179.5
1044.510912	4521195
1064.310912	4923658.5
1084.10256	4942104
1103.90292	4402474
1123.702092	6225017.5
1143.48744	4237870.5
1163.264508	5429025
1183.019328	5750688
1202.819112	4826976
1222.6113	6141147
1242.41058	4531529
1262.210832	4165186.5
1282.00266	4413568
1301.79546	3915460.2
1321.587072	4903732.5
1341.386748	4737847.5
1361.179548	3649443.8
1380.97134	4341936.5
1400.733612	4284759.5
1420.525728	4999064
1440.31842	4347326
1460.117808	5268268
1479.917952	4349127
1499.717232	4620352
1519.50996	5652278.5
1539.30168	5296606
1559.10186	6414861.5
1578.901248	6100785
1598.701428	6486668
1618.49322	4285549
1638.2934	6223948.5
1658.085192	4539564.5
1677.88548	4437665
1697.6772	5622345.5
1717.47738	4508774
1737.27666	3337620
1757.076912	6809176
1776.883608	5167199.5
1796.676372	3762589
1816.47558	4083550.2
1836.268632	4046142.8
1856.06802	4303479
1875.867768	4406976
1895.682528	4178015.8
1912.881672	106114.84
1919.96676	4085590
1945.663128	36572.742
1952.75628	4062462.8
1969.948512	51108.625
1977.041448	4482007
1994.23332	40610.738
1999.68462	40644.582
2006.77806	3844070.2
2023.971012	49098.723
2029.551732	23504.016
2034.99468	34841.285
2042.08812	4257672
2059.28694	7196.4404
2064.732228	28096.391
2070.183708	15824.112
2075.696892	12524.83
2082.790008	4508526
2102.56686	4346804
2122.359552	4400498.5
2142.15138	5277574
2161.94364	4184097.2
2181.743388	5057476
2201.505588	4784321
2221.297812	4560295
2241.09054	5643707
2260.882332	4614559.5
2280.67488	4201962
2300.466708	4078472
2320.259112	4304112.5
2340.051228	4474452.5
2359.84392	4832711.5
2379.635748	4307028.5
2399.427972	5151071.5
2419.2288	5377198.5
2436.419448	5328.29
2441.87136	12279.818
2448.973188	4239364.5
2474.779428	4302040
2491.971012	19061.617
2499.064128	4263453
2518.834392	4183610.2
2538.633672	4521345.5
2558.411388	4935758
2575.604088	18149.158
2582.703432	4609829.5
2602.48788	4760009
2622.287988	4849395.5
2642.079852	4459713.5
2659.271292	243439.45
2666.364948	5165010
2686.149828	4892444.5
2705.949	6058980
2725.7418	7131772.5
2745.53352	4265758
2765.333808	4976067.5
2785.12542	4567889
2804.902848	4449618.5
2824.702488	4800424.5
2844.49482	4681213.5
2864.279448	3908110.2
2881.482192	12003.351
2886.983352	6116.5254
2894.069772	4058150.2
2919.546612	3674914.2
2939.308452	4530942.5
2959.101108	3815823.8
2978.900892	4169535
2998.700172	4737170
3018.492792	4333836
3038.28462	4934326
3058.08444	5242312
3077.876592	5826968
3097.66896	6965888
3117.4686	5189282.5
3137.260932	5566940.5
3154.452948	19012.291
3161.54592	3924946.2
3187.1727	4326791.5
3206.965428	5334020
3226.76514	4574623
3246.55686	4206873
3266.349588	4308261
3286.141452	4458405
3305.90412	4538427.5
3325.666428	4686228.5
3345.42816	4924306.5
3365.205768	4398316
