MS:1000894_[sec]	MS:1000285	S/N	peak_count
0.0341151504	80554	1.24198	22
0.503101152	115436056	29.8951	855
0.83322216	104902544	27.4613	906
1.16260116	107964080	28.4267	862
2.29683318	139399056	33.0408	787
2.93095014	106761744	26.7432	829
3.47657118	110027984	28.5138	895
3.88118316	124678392	28.8306	876
4.28618316	107356384	28.9083	853
4.83617814	108158264	28.0939	902
5.24167314	113830784	28.4125	877
5.64665916	118771104	30.2466	880
6.0706602	136548512	33.0663	765
6.3955314	155722272	37.2667	689
6.7257762	138625568	33.4257	854
7.1303964	110307640	29.3779	836
7.460262	108312656	28.3294	887
7.7901324	111664656	28.3803	927
8.1950082	131364448	31.2591	893
8.599746	107548544	25.4641	995
9.004491	110536760	27.6237	932
9.427242	109343072	27.852	909
9.7573674	130849192	30.2484	926
10.087233	110434960	28.5455	873
10.417227	110322928	27.3961	951
10.7469672	115881136	31.156	850
11.076726	102828120	27.0583	910
11.4064584	104135928	28.4623	837
11.736342	116893040	28.2123	901
12.066201	116234632	30.299	870
12.395958	118159352	29.0545	922
12.725817	116751800	30.7332	821
13.055949	110751432	27.3781	922
13.38582	101098488	25.822	886
13.7151912	110406208	28.7353	883
14.0449254	127164568	30.8681	857
14.3748012	117793288	31.2132	810
14.7047982	105011480	28.1382	867
15.0347874	108077088	28.2035	899
15.4395312	110700440	28.9568	872
15.862401	135333808	33.241	807
16.19265	107110224	26.8029	926
16.5225294	107119368	28.6216	859
16.8523872	113007696	27.9194	907
17.1822672	113315400	29.6203	843
17.5123782	115675552	29.1856	921
17.8421334	112984432	28.9358	899
18.17187	115794192	30.0191	840
18.5017422	110251400	27.5052	904
18.8318622	105907160	27.5666	886
19.1617332	118806960	30.7835	854
19.4916042	110036432	30.0891	839
19.8214734	110433424	29.6417	878
20.150847	130722160	33.9603	792
20.4802242	107497952	30.1985	850
20.8100934	119161632	30.6423	821
21.140085	135622544	33.4176	842
21.4700784	125690280	30.4128	901
21.8000742	133382800	32.9608	817
22.129944	103554896	28.0159	880
22.4599392	160116480	35.2234	882
22.7898102	111251664	28.8532	891
23.1196812	118499232	28.3418	892
23.4490602	117086112	30.3756	885
23.7785472	101240064	27.6409	880
24.108426	102588464	28.1813	856
24.4384152	104252816	27.8329	873
24.7685424	104537064	27.1339	865
25.098405	105232488	28.2275	894
25.4282844	108623296	28.2793	864
25.7577804	113079520	28.1709	913
26.087892	127735304	31.2912	855
26.417763	114278928	29.5478	890
26.7477582	101248192	27.4353	849
27.077754	104981776	27.4571	918
27.407625	108387288	27.3237	904
27.7370034	112654968	29.948	878
28.0668732	109281976	27.1006	903
28.3968624	111065552	30.4607	838
28.726863	118146632	31.049	817
29.056728	115603408	31.78	820
29.3866062	118694600	30.0859	849
29.716596	108414640	28.2844	892
30.0464712	107567432	26.9917	898
30.3765864	95828848	27.1063	873
