MS:1000894_[sec]	MS:1000285
2.046909024	5009.8706
30.18606912	34765932
49.9933296	30003704
69.7560696	31616152
86.9473836	172411.42
92.5345836	81529.859
97.979526	36354.086
103.4241048	89219.695
108.8919648	60593.117
114.336846	60525.453
119.7817848	40937.738
125.2938636	26997.156
130.8897036	19122.566
137.8099908	43995024
163.4911236	109403.74
168.9660648	27957.717
175.8570084	30562644
201.5002836	27700.834
208.5942708	31162310
225.785286	3860.0569
232.8709896	38131864
250.0706448	4784.6016
257.1709896	31472632
283.0699836	343399.03
290.1706884	31150434
307.3631436	28996.402
314.5003884	33635272
331.6932036	14753.744
338.7995496	35347804
364.239612	43369584
383.731884	53337960
403.546572	42705416
420.738408	140495.8
427.823784	32468104
447.61572	31484460
467.407944	32373434
484.607268	12923.083
491.700492	40445560
508.899708	6892.6582
515.98476	29034656
533.177172	15887.6
540.26946	32594310
565.63452	31566238
585.442044	39700292
605.23398	31083238
625.03362	31563362
644.818032	35051604
664.60356	29639090
684.387504	30266236
704.18052	33760872
723.97206	34335116
743.75748	34924488
763.54902	34957704
783.35694	32096106
803.1492	28351856
822.911472	32079868
842.695524	38713768
862.488072	35586132
882.287892	30778694
902.087244	31021762
919.278792	26271.258
926.371872	32155208
951.74406	42621316
971.559	30499840
991.351764	30442336
1011.143232	32252892
1030.936032	33549212
1050.742692	33663984
1070.528004	33472774
1090.3122	34706248
1110.104532	31633140
1129.911732	30594556
1149.703992	35300536
1169.496252	32447568
1189.288404	32790256
1209.05082	41290460
1228.813452	32010128
1248.605604	36837208
1268.4051	42629832
1288.204704	38243584
1308.004452	42687068
1327.79664	30210250
1347.596352	50681148
1367.388612	32600494
1387.180872	33365154
1406.943612	33500898
1426.712832	29233902
1446.50556	29453878
1466.304912	29472834
1486.112544	29899514
1505.9043	30563664
1525.697064	31164024
1545.466824	32690872
1565.27352	39230620
1585.06578	33683640
1604.865492	29084278
1624.66524	30088446
1644.4575	30493692
1664.220204	32512032
1684.012392	31214482
1703.811744	33201954
1723.61178	35307456
1743.40368	34810004
1763.196372	36280776
1782.99576	30863722
1802.788272	30057242
1822.595184	26984584
1842.387804	27838802
1862.187264	29427050
1881.979992	32143496
1901.786652	32702388
1918.9782	193225.53
1926.07164	28836350
1951.707852	42022.773
1958.816412	32701156
1976.008068	85086.828
1983.1005	27783160
2000.292912	73199.227
2005.744572	68909.109
2012.838372	30216596
2030.029488	78982.898
2035.481688	57874.746
2040.927048	41049.707
2048.019732	33158006
2065.211748	24313.062
2072.312244	33333582
2098.323	256286.88
2105.40888	33459742
2125.193724	27408118
2144.985984	30635514
2164.785732	35081504
2184.585984	33003030
2201.777028	5371.6494
2208.870072	34108992
2228.662872	37726968
2248.380144	51344504
2268.18684	35589992
2287.986552	37381376
2307.771324	38614760
2327.571	37794080
2347.36326	34291864
2364.5565	44884.348
2370.00726	5645.8462
2376.96588	41038504
2394.164952	19314.588
2401.27254	33424224
2427.072624	35054852
2446.865064	30587652
2466.672192	26832700
2486.46456	41319876
2506.271904	32151114
2523.462912	17543.939
2530.571472	32257104
2547.762588	14014.209
2554.855992	35428476
2574.6408	30010456
2594.43306	30207602
2611.6317	10908.067
2618.71722	30757854
2638.502604	29601144
2658.249684	40244492
2678.011884	29998478
2697.80382	30057016
2717.610984	29108288
2737.403244	31131904
2757.195972	33398188
2776.86072	40884376
2794.059792	37794.906
2801.159964	35711068
2827.019412	44012336
2846.782404	29668634
2866.54392	30764628
2886.30666	37510164
2903.505552	25064.406
2910.621024	48407812
2930.40612	38096512
2950.198632	31318170
2970.005652	28659618
2989.76742	41304024
3006.95958	25089.262
3014.060004	29936604
3031.252308	15352.43
3038.254344	49514820
3055.45464	5550.9199
3062.546892	34404132
3088.41354	30589502
3108.2058	29833656
3127.998132	41212604
3147.798132	35762060
3167.575092	33314848
3184.774092	214064.5
3191.860224	27837122
3211.629804	40370988
3231.38466	38984396
3251.14686	35376912
3270.94668	32022862
3290.716404	37657640
3310.47864	31262928
3330.24048	39998444
3350.032632	31670208
3369.824892	36110684
3389.549652	39429472
3409.349832	36171532
3429.14166	35709984
3448.93446	43417196
3466.125432	15405.856
3473.218944	28565284
3498.695712	39568944
3518.480772	40625584
3538.272852	33471352
3558.065544	36209340
3577.86504	30303660
3597.65748	31187240
3617.4492	29911336
3637.25676	31085976
3657.04884	30523546
3676.82652	43483688
3696.61824	38264184
3716.3358	44142936
3736.12824	43637096
3753.31968	183475.92
3760.4124	37076744
3786.21432	37326.758
3793.3074	27018456
3810.49992	85916.625
3817.61388	31826824
3834.80568	96946.328
3840.25824	49653.352
3847.3218	40912500
3864.51396	58105.582
3870.01116	43266.863
3877.0956	31409682
3903.16716	22184.76
3910.26096	36177904
3929.985	44502816
3949.785	39318720
3969.57708	30216990
3989.36988	32410302
4009.16952	39002384
4026.36168	238942.48
4033.4022	43493468
4053.19356	32428458
4072.9788	35876984
4092.77808	29617948
4112.57052	50193484
4132.35504	36163788
4152.15504	30745664
4171.94712	34460064
4191.74712	33369546
4211.5464	30861662
4231.33884	33691556
4251.13092	33198130
4270.93128	30332948
4288.12992	48527.23
4293.63432	16868.758
4299.08688	16225.811
4306.17312	31352014
4331.85264	30395762
4351.6602	34764232
4371.45264	30260298
4391.25192	31049250
4411.04436	31781630
4430.844	29688678
4450.63572	29595022
4467.82788	11480.832
4474.92096	30317108
4500.61668	20291.43
4507.71804	30083722
4527.51012	28295688
4547.3022	35605664
4567.1022	32546900
4586.90904	29878510
4606.70184	28996398
4623.89292	44522.711
4630.98636	36119728
4650.77088	34881892
4670.56332	35662768
4690.3626	32306954
4710.1554	33802696
4729.96224	33426534
4749.75468	31891400
4769.54676	29234928
4789.3392	31277878
4809.1392	28830332
4826.33028	32251.283
4833.43848	28626614
4859.17848	34706648
4878.84276	40846092
4898.64276	34001052
4915.84104	15194.75
4922.93448	35997988
4942.71216	40512972
4962.51972	34409944
4979.71008	23837.426
4986.81864	33473014
5006.61108	28059910
5026.41108	36378848
5043.6018	116451.35
5050.71072	36027728
5070.5028	35254684
5090.29524	34422328
5110.09488	34266452
5129.88696	34683596
5149.5516	47523492
5169.11904	50355980
5188.6638	47798476
5208.22332	37912616
5227.94052	39116048
5247.54576	48878616
5267.21796	45366928
5284.4166	16689.568
5289.86124	18724.428
5296.95504	33251746
5322.65112	42992.691
5329.7442	33982464
5349.54456	32799608
5369.33664	33798360
5389.13592	34598900
5408.89128	32940342
5428.69056	28529578
5445.882	20589.514
5452.97508	32744688
5472.76032	29655448
5492.56752	36390564
5512.36752	29940792
5532.1596	34302648
5551.95132	31613500
5571.75924	29071270
5588.95032	164701.88
5596.05132	31085870
5613.25212	34655.805
5620.3434	28389620
5646.51972	96750.211
5653.61244	35813376
5670.8118	66656.336
5677.89732	34794160
5695.09704	80639.172
5700.60108	58574.18
5707.68732	37602204
5724.88092	52056.301
5730.39144	21740.578
5737.49172	36517012
5763.43404	30197020
5783.22576	30558562
5803.02612	34858780
5822.74296	45599712
5842.39248	38251268
5859.5922	7133.7222
5866.69212	32339042
5886.47736	37641396
5906.27736	36852344
5923.476	283533.16
5930.56188	32187880
5950.3536	27816206
5970.1464	29007738
5989.95324	30258110
6009.74568	38202936
6029.50752	39124780
6049.29996	29828630
6069.0996	40113444
6088.75668	45647380
6108.55704	29634176
6125.74812	39209.258
6132.78144	36074864
6158.29608	37045572
6178.10364	28954950
6197.90328	33526394
6215.10228	3287.3252
6222.19572	28958254
6241.97268	38131228
6261.76476	30064620
6281.56476	31380100
6301.3266	33326426
6321.09636	31041678
6340.88844	29661652
6360.6888	29559630
6377.87988	23460.508
6383.33244	23023.496
6390.42516	32793128
6410.0232	51319424
6429.82248	36924476
6447.01392	6187.0239
6454.12248	30157862
6473.907	37270444
6493.69944	32303606
6513.30396	43035768
6533.01396	41576500
6552.73872	34955300
6569.9298	36140.465
6577.03836	30011232
6596.82288	32277748
6616.61568	30676476
6636.4146	31475006
6656.21496	33257010
6676.0218	33608268
6695.81424	37379876
6715.61424	31824066
6735.40632	31307932
6755.2056	30243326
6772.3974	27319.744
6779.5056	30497500
6805.19988	33400924
6824.96208	31164822
6844.75452	29695836
6864.54696	30915604
6884.33184	33495052
6904.12428	34941344
6923.92356	36160132
6941.12256	4851.4756
6948.22356	31627762
6974.00064	30281400
6993.80064	30387912
7013.59308	30574036
7033.39236	31330774
7053.1848	30377436
7072.97652	30881612
7092.76932	31451488
7112.5686	30262446
7132.33116	29692220
7152.1236	30825610
7171.91568	30714014
7191.70776	29382100
7211.50776	30927846
7231.20228	41454660
7251.00912	28840250
7268.20164	21941.188
7273.81008	13096.493
7280.89632	29207496
7306.51644	32642596
7326.31644	30926356
7346.11572	31681234
7365.90816	31330124
7385.71536	29486864
7405.50744	29855316
7422.69924	200275.69
7429.80708	27807478
7446.99888	36310.027
7452.45072	83645.016
7459.55136	26406090
7479.3366	39148076
7496.52804	70465.016
7503.62076	34938584
7520.81256	92396.773
7527.91356	31297034
7545.1122	55666.488
7550.55684	40601.938
7557.66504	31273814
7574.86476	27594.615
7581.95748	30422240
7607.457	36123084
7627.2498	44751932
7647.012	36293352
7666.79616	31925584
7686.5886	36452308
7703.7876	12172.667
7710.87312	41239568
7730.658	32531376
7750.45836	29765888
7767.64908	44270.805
7774.74216	26939332
7794.5202	33848380
7814.28168	35230708
7834.07448	32702704
7851.27384	31824.57
7858.37412	29603764
7875.56592	216473.45
7882.59132	44755704
7902.38304	42715180
7922.08584	36077116
7941.8556	33775748
7959.0474	39027.875
7966.15524	35557080
7985.9322	38790356
8005.73256	34721176
8025.53148	30562934
8042.72328	26014.863
8049.83184	35692316
8069.61672	33722052
8089.42356	32974546
8109.216	33842260
8129.01564	29927174
8148.81528	39435872
8168.53248	41604316
8188.12944	43173788
8207.65908	58992676
8227.45152	34399492
8244.65052	3844.2119
8250.09588	30542.465
8255.54016	108215.98
8262.63324	33654088
8288.3376	12749.911
8293.84956	11966.291
8300.9358	36737876
8320.62312	43923224
8340.3774	37590432
8357.5764	133145.38
8364.66264	30772708
8384.45436	30009520
8404.2396	28208226
8424.02376	29652848
8443.82412	29286482
8463.6234	28911064
8483.41584	32397536
8503.21512	32180600
8523.00792	36563804
8542.77732	41486668
8559.97704	45957.191
8567.0622	28793338
8592.5016	29434502
8612.30196	29995730
8632.06344	31093946
8651.82636	32980478
8671.58856	31643608
8691.3504	30939480
8711.12052	34710036
8728.3134	33573.641
8735.40468	31634450
8761.20444	29458422
8780.96664	28997772
8800.75908	31619194
8820.56592	32540708
8840.35836	28664670
8860.12092	30978812
8879.88312	28850554
8899.68312	27513802
8919.4752	37476444
8939.28276	39762856
8959.05972	38725120
8978.45472	52257056
8998.19424	34722512
9018.00144	39336068
9035.19324	13393.24
9040.65264	6223.5596
9047.73816	32399950
9073.20024	31134732
9092.90268	40439660
9112.6872	29532878
9132.47208	38224912
9152.26416	28172820
9172.07172	26351104
9191.8638	32347614
9211.671	31340440
9228.8628	17885.32
9234.37548	3694.2075
9241.47612	27589668
9268.08696	194132.19
9275.1732	27872840
9292.37184	38143.215
9299.45736	29286904
9316.6506	93045.078
9322.10244	74430.695
9329.19444	30834920
9346.39452	92928.672
9353.48688	28569182
9379.39356	69640.016
9386.49384	28570136
9403.69356	48995.301
9410.77872	29784132
9427.97052	32016.191
9435.07044	29058450
9460.78812	29741376
9480.58812	30649872
9500.38776	28618012
9520.17984	29360584
9539.9874	29462456
9559.74888	28782780
9579.54168	29381740
9599.34132	31176116
9616.54032	14378.509
9623.64096	29234696
9649.3428	28688916
9669.14316	30397526
9688.93488	29778982
9706.12848	5727.3223
9713.22696	33141964
9733.0194	31168852
9752.81904	29713178
9770.01084	25766.213
9777.11904	29911888
9796.91148	28927276
9816.71112	29831606
9836.47296	29869086
9856.25064	29729420
9873.44964	275924.66
9880.53516	30633868
9900.29772	31494302
9920.06748	29944192
9937.26648	21501.34
9944.56944	29256554
9964.35468	33771884
9984.14604	30637232
10003.93884	35084856
10021.13028	46512.695
10028.23812	34774504
10048.03092	35876652
10067.68764	43386988
10084.887	15992.059
10091.96496	39828924
10111.7574	31782396
10131.54156	29148358
10151.31924	34040848
10171.12608	29001864
10190.91888	30482366
10210.71024	31597510
10230.525	30078230
10250.32536	30185880
10270.0872	30745736
10289.88	33186320
10309.68684	33544836
10326.88584	12696.892
10333.97172	34095908
10359.3816	34017988
10379.18088	34449432
10398.92832	62017844
10418.60052	45133304
10438.24248	42563712
10458.04284	39951616
10477.75932	36664524
10494.95148	19044.48
10501.98408	49748204
10527.2064	40303176
10544.3982	29207.148
10551.40848	37070292
10571.1786	38680020
10590.97788	29664128
10610.7786	34086644
10627.97004	34791.77
10635.00984	36109400
10654.77996	34866268
10674.55728	38385972
10694.304	47966280
10714.10436	40444336
10733.90364	29323722
10753.69644	34143016
10770.8886	5894.6094
10777.98096	33175470
10797.75756	41982436
10817.55	35463680
10837.28232	32267768
10857.07476	30954310
10876.84416	42438836
10896.64416	28940536
10916.44416	30886008
10936.01844	41640404
10955.75112	40367620
10975.54356	37929480
10995.35076	34496060
11015.14356	34968536
11032.34184	39188.98
11039.427	30004974
11064.9204	34122760
11082.11868	223877.8
11089.19736	38412732
11106.39564	42925.91
11113.48224	32964706
11130.68016	85927.555
11137.7664	28682010
11163.40236	74230.516
11170.49652	31537316
11187.6876	65394.684
11194.78068	35925788
11211.97248	65293.668
11217.4236	41083.516
11224.51812	35085956
11241.70884	17451.543
11248.80228	31653148
11274.5124	28626552
11294.27388	30520544
11314.04364	29649230
11333.81376	32391166
11351.01276	25620.736
11358.09828	33368828
11377.83024	47175948
11397.6	31971120
11414.79936	18879.033
11421.89208	32712366
11441.6622	32411948
11461.42404	40408040
11481.21648	32339134
11500.79868	58080336
11520.39636	44482552
11540.17296	35544892
11559.95064	40144820
11577.15072	15086.801
11582.59428	49258.309
11589.68772	31108182
11609.4654	37816804
11629.2726	38319052
11649.07224	35762084
11666.26332	13169.996
11673.3114	42690316
11690.51076	6393.9297
11697.59628	32880136
11714.78772	292361.25
11721.8808	38715932
11747.65968	13787.529
11754.75348	29863998
11771.94456	25647.775
11779.03764	31432044
11798.80776	37661384
11818.56996	35975028
11838.3318	28169562
11855.52324	41384.555
11862.61632	39342276
11882.40948	26945074
11902.17096	32228660
11919.36312	4240.2715
11926.45548	33586516
11946.23352	33097492
11965.995	30524004
11983.1868	22259.133
11990.29536	35211428
12010.04964	39846172
12029.81976	28500300
12049.62732	32206070
12066.8184	16673.215
12073.91868	31979146
12093.71112	31820954
12113.4366	43708192
12133.24272	30253826
12153.02868	32969890
12172.81968	34356004
12192.62076	31049454
12209.81868	5614.3682
12216.91932	35060928
12236.7114	34182832
12256.50492	44095160
12276.3114	40172500
12293.5032	30627.344
12300.58116	30701762
12317.77944	5261.311
12324.8736	31531440
12342.06504	15878.944
12349.15812	38876140
12374.54496	29211052
12394.35216	34002268
12414.1446	31661798
12433.9068	34507064
12453.669	37957648
12470.868	31327.363
12477.96828	30825490
12497.7456	29908392
12517.53768	29441632
12537.33012	30964568
12557.10744	33090110
12576.86928	31606336
12596.6322	34236596
12616.3188	43677024
12636.0738	28119274
12655.8666	35391020
12675.67308	40680516
12694.98636	50539256
12714.78564	36170828
12731.98428	18010.986
12739.07772	29456810
12764.5398	32403080
12784.33944	33340896
12804.13908	33703520
12823.93908	31045726
12843.73152	30244416
12860.9226	20647.619
12868.01604	30653728
12885.21576	15396.174
12892.30776	31643264
