MS:1000894_[sec]	MS:1000040	MS:1000041	S/N	peak_count
0.458912768	623.907470703125	2	64.9817	481
0.598537184	472.925842285156	2	33.5972	316
1.0280212	453.952270507813	2	75.3909	381
1.25065984	537.90478515625	2	40.961	485
1.679761616	691.868041992188	2	24.9617	591
1.886273712	736.942443847656	2	21.1606	525
2.323745584	755.915893554688	2	20.1369	463
2.520004848	774.889465332031	2	21.3243	567
2.959979312	579.023254394531	2	32.336	524
3.171989088	615.919189453125	2	27.5858	587
3.729720912	386.922912597656	2	60.214	267
3.835955426	604.933959960938	2	70.7918	381
4.270967362	823.876037597656	2	23.7395	688
4.588815361	381.908447265625	2	41.1821	392
5.009199649	435.075439453125	2	52.9527	464
5.203550273	711.030151367188	2	12.9088	422
5.634436945	581.878173828125	2	29.0445	404
5.793436337	785.928894042969	2	12.7773	452
6.227036577	546.399597167969	2	26.9739	435
6.413920929	683.872314453125	2	17.8079	506
6.971301201	717.968872070313	2	16.8105	502
7.15613416099998	730.005126953125	2	13.4994	446
7.59501288100002	492.9634	2	19.6653	322
7.811889297	887.924621582031	2	19.6965	651
8.377612353	585.960510253906	2	44.6184	403
8.53986465700002	672.892883300781	2	22.4284	538
8.981219937	488.990966796875	2	34.1829	380
9.158095041	532.890686035156	2	27.7684	420
9.58396958500002	842.852722167969	2	14.597	562
10.087699601	544.041198730469	2	37.809	505
10.378844481	849.977355957031	2	13.7627	675
10.953676113	408.064697265625	2	62.3747	442
11.251094721	342.457275390625	2	33.9614	295
11.671304289	634.947082519531	2	21.4787	400
11.857795729	470.105438232422	2	37.8947	429
12.279770513	698.994506835938	2	15.6031	537
12.551755329	550.041320800781	2	41.364	558
12.988165889	431.944671630859	2	36.0863	396
13.280371009	748.978515625	2	16.2932	579
13.840131537	631.3917	2	16.2816	425
14.298056753	688.886291503906	2	18.0126	468
14.484216929	597.996643066406	4	42.6634	524
15.043852017	868.950622558594	2	41.3549	558
15.240588305	646.982727050781	2	22.7719	502
15.679320193	463.080627441406	2	39.314	397
15.844201873	562.896484375	2	27.9352	421
16.271561377	483.9165	2	20.9444	337
16.719047969	481.930999755859	2	54.0183	341
17.164828145	496.003021240234	3	39.3159	474
17.693575874	434.978698730469	2	52.3432	441
17.938531585	631.389831542969	4	26.0436	525
18.378636273	496.0029296875	2	33.4641	386
18.85492141	695.02294921875	2	20.2166	538
19.361902738	683.871948242188	3	17.8051	518
19.850505474	804.902099609375	2	15.8504	588
20.087860866	682.049987792969	2	18.0873	560
21.023828737	407.946441650391	2	57.5201	321
21.236439458	581.983642578125	2	38.2428	514
21.793574001	394.9048	2	58.9415	387
22.306144162	476.893310546875	2	32.3151	379
22.552668209	653.920227050781	2	29.7876	621
22.998904882	762.978637695313	2	14.0469	598
23.53118101	778.4866	2	14.1616	613
24.814922818	462.146331787109	2	33.153	394
25.010876898	609.01953125	3	31.4885	548
25.575862433	478.011840820313	2	33.6296	400
25.818714305	561.906188964844	3	31.5732	528
26.258077713	582.9261	3	23.213	422
26.722451953	676.049743652344	2	16.0136	433
26.888947153	571.244201660156	3	28.0001	429
27.446052706	906.897277832031	2	25.1848	667
27.739337602	513.916687011719	3	31.1937	452
28.667026721	766.950988769531	2	17.2134	662
28.958653473	491.6953	3	33.9827	431
30.979724977	393.059448242188	2	61.3831	420
31.499148128	464.937072753906	2	32.9454	393
32.354447248	1000.95935058594	2	9.41584	563
32.905480064	740.856994628906	3	17.5795	585
33.429589633	540.250610351563	2	21.0701	435
33.87747277	827.030517578125	2	13.1395	588
34.143425393	525.067687988281	2	35.385	538
35.075631089	373.733947753906	2	33.5303	310
35.287991393	511.234893798828	3	32.0209	471
35.719118593	609.020324707031	2	39.7219	643
36.997716241	846.004333496094	2	12.3669	638
37.507493201	808.057861328125	2	15.4173	683
38.434460976	880.986022949219	2	12.4602	724
38.682172672	683.5327	3	15.066	480
39.243797472	625.903625488281	2	24.6618	497
39.717454658	887.4316	2	18.0721	696
40.265556833	701.0219	2	11.2362	443
40.725910322	669.112976074219	2	24.6022	617
40.971005826	657.077026367188	2	20.3241	471
41.907864768	378.934326171875	2	40.8577	368
42.200369584	347.992004394531	2	34.0452	334
43.118844416	702.9111328125	3	18.0502	504
43.983053184	464.174865722656	2	41.8985	452
44.835538528	343.037475585938	2	40.586	361
45.345269984	343.723510742188	2	36.0465	298
45.625544096	766.14	2	13.4315	626
46.1986672	615.157043457031	2	38.179	635
46.742913744	521.913879394531	2	29.8452	365
47.946966001	589.062133789063	2	34.239	471
48.426377393	467.183349609375	2	49.7651	482
48.946271985	491.6685	3	38.2239	420
49.849666897	402.064636230469	2	99.4998	416
50.14504709	399.059387207031	2	60.277	399
50.693410801	646.525390625	2	20.402	560
51.233069249	634.011474609375	2	26.4954	560
52.88134941	395.928192138672	2	64.9605	388
