MS:1000894_[sec]	MS:1000285	S/N	peak_count
0.06547056	102449248	4.14725	685
0.445865664	120206408	3.73537	636
2.660932255	104257256	4.04758	803
3.034145839	116438056	4.19751	725
3.398284591	112579352	3.76925	743
4.226755647	103443712	4.02948	719
4.783515407	96780240	4.41294	656
5.279355615	100072632	3.93749	676
5.851483456	98120664	4.0045	695
6.987478512	98404384	4.28175	785
7.36107027199998	108510064	3.8659	768
7.86554070400002	98669880	4.44673	685
8.31140323099998	104075192	4.23187	720
9.1474212	93279192	3.8765	801
9.67651044799998	92733448	4.23393	630
10.201231232	95596000	4.19803	689
10.571513632	95278656	4.39282	716
11.023348127	104276912	4.28532	808
11.563204287	98143200	4.32057	696
12.045444191	96089776	4.25885	703
12.513817952	93948232	3.8856	791
13.085426111	95119064	3.95328	787
13.637789247	98559656	4.3827	785
14.011293007	84314208	4.07636	674
14.847265215	89644800	4.32851	654
15.380606816	85717536	4.19126	921
15.764514992	98890984	4.2844	806
16.279231023	97005872	4.24538	731
17.038200143	84918048	4.12734	642
17.411193599	94881912	4.02617	709
17.777208831	91022456	4.37026	686
18.260552911	98641912	4.2489	753
18.642196399	90785200	3.82487	825
19.492678511	89232472	3.81482	776
19.868911471	90377136	4.25052	777
20.367133439	96571520	4.12748	740
20.933988175	89493304	4.17736	815
21.305756479	82829552	3.99755	671
21.841343551	85167272	3.90705	790
22.212610064	98569624	3.93197	850
23.020357823	95783640	4.2366	789
23.561311727	92365432	4.27044	805
24.0269272	92430352	4.13941	790
25.182683376	85937688	3.9765	743
25.728766096	93368296	4.10538	725
27.048769328	84071224	4.33118	704
27.566848527	89051232	4.03792	752
28.070963167	87227928	4.03277	788
28.630822047	77234904	4.17909	714
29.482818463	87700224	4.53688	746
29.858291503	87161936	3.9222	697
30.222027791	84687384	4.13249	681
30.585919839	81520608	4.36478	791
31.050887423	90880712	4.33825	721
31.422126799	89438056	4.06848	750
31.788767071	100044792	4.15853	860
32.346115967	89034416	4.21713	836
33.162741807	81234848	4.01486	770
33.704709311	90321672	4.0797	935
34.885830735	81344600	4.19405	673
35.446666608	83155656	3.81017	721
35.977034224	87960024	4.45751	740
36.790766608	82714832	4.14122	774
37.316618048	93788456	4.71313	939
37.69073408	94160800	4.39149	740
38.054725295	81377760	3.92008	658
38.418482783	85600824	4.45548	640
38.782505903	90499992	4.35102	724
39.272479231	86632696	4.34921	868
40.154578175	82296656	4.07952	675
40.526670863	87554680	4.36272	711
40.890661104	83146816	4.18582	700
41.254405375	85367144	4.4705	774
41.62064424	86314448	3.86652	806
41.985160319	95585656	4.04805	794
42.493996863	87154848	4.19253	753
42.864868079	88745872	3.92832	733
43.228892608	84528544	4.04749	708
43.72784704	89670232	4.36359	691
44.099862367	93142256	4.17717	770
44.859969919	83743000	4.26314	737
45.243845919	96985952	4.40531	892
46.064057199	80773752	4.40607	690
46.437537727	86754208	4.46612	676
46.800651872	85284680	3.93611	690
47.164792399	93756048	4.35997	940
47.690386735	93385792	4.42749	789
48.205616352	84097960	4.12491	752
48.576499232	82278968	3.83955	785
48.940495615	90753904	4.21125	712
49.303596367	88419512	4.35519	749
49.670124399	80244472	4.07773	910
50.219821983	85700064	3.99775	778
50.592099087	85500152	3.68931	885
51.098323087	94839672	4.30215	764
51.925699216	89609264	4.30901	811
52.422274528	94949448	4.12304	881
52.938131376	89368392	4.15669	812
53.30962944	83511616	4.34639	710
53.676871472	80698712	3.91465	764
54.040375183	81539192	4.31822	707
54.403731887	80685432	4.32299	698
54.768006224	81477488	4.1693	672
55.338221263	90212120	4.2327	781
56.188957215	81373544	4.23906	753
56.68405432	87361064	4.17443	708
57.054316751	85350816	4.23124	756
57.6166624	94334128	4.24707	848
57.989898751	86430184	4.01134	754
58.354041887	75712520	3.75609	731
58.928512527	79141056	4.07186	731
59.749612527	83693456	3.89144	785
60.1335021430002	84513352	3.75957	785
60.506243247	85392712	3.69127	896
62.0699703190002	75058048	3.81903	867
62.9968249270002	86110040	4.3868	747
63.5074058869998	76376640	4.27404	741
64.0172561590002	83357360	4.21068	719
64.3890290869998	86268360	3.98646	932
64.935250527	88282160	4.2544	802
65.496986271	74552832	4.17967	897
65.9839819189998	71285176	4.29155	772
66.465475167	89937880	4.35703	788
67.0287032470002	75657296	4.47638	704
67.8116957749998	88392480	4.27502	826
68.1849332800002	74204776	4.52329	683
68.548661424	76772336	4.84325	745
68.9125432480002	85572104	4.58817	749
69.2767692	78381752	4.16006	732
69.643399791	81502080	4.52347	685
70.0073811670002	87280640	4.64675	752
70.3711190560002	81332704	4.26891	713
70.7339869270002	81167304	4.50945	627
71.0979778870002	80235808	4.2326	668
71.464095024	80636304	4.65432	818
71.8277226709998	82893576	4.38769	736
72.191469663	85757776	4.52377	682
72.565854447	88584880	4.75978	737
73.1120709109998	85914632	4.28174	821
73.9564647670002	82800864	3.98831	817
74.5163974069998	76551312	4.33357	654
74.887517775	77450296	4.09681	746
75.2515130389998	78269104	4.24939	828
75.6178985269998	76148112	4.07739	732
76.185757791	87356624	4.35185	823
77.0613798070002	82058944	4.33264	773
77.632222815	89078064	4.50238	745
78.1438197430002	80729408	4.32227	622
78.515589519	83278200	4.42867	734
79.0328020630002	81036920	4.76354	765
79.415578191	85987456	4.45655	806
81.004276143	78445296	4.32187	820
81.3777459190002	79471792	4.66196	717
81.743613696	79651464	4.67249	720
82.1072308960002	93525608	4.86392	803
82.4717440150002	87503600	4.72986	871
82.9829543989998	83286000	4.77729	750
83.3645772469998	77113968	4.92171	740
83.7296925439998	85001592	4.62198	794
84.09368592	86673448	4.91515	717
84.4576996960002	81972264	4.51684	659
85.3511786560002	90523608	5.09599	804
85.7367697759998	89300776	5.07356	712
86.100663327	77505416	4.84414	722
86.6652529750002	82698096	5.11798	682
87.035619456	95780112	5.06909	777
87.399247743	86593688	5.43308	712
87.7652285440002	88813664	4.69238	791
88.129490976	88949304	5.15594	751
88.4932110559998	82222760	4.98748	806
88.857204063	87418408	5.11338	701
89.220446031	82697616	4.76915	736
89.5855622710002	90398016	5.45922	698
89.9494300309998	83194896	4.89075	692
90.313568127	84431560	4.68792	811
90.833161119	85023640	5.09497	873
91.2053104630002	85677744	5.02637	753
91.709404815	87313752	5.22248	671
92.267379231	96382224	5.05497	767
92.6374994239998	78182944	4.88932	669
93.00123288	79417992	5.06588	674
93.3646024309998	91709792	5.45397	729
93.7305977749998	90239608	5.07145	671
94.093468095	88090112	4.61065	709
94.4574898390002	95753208	4.94308	751
94.9849437760002	90694432	5.31913	779
95.5479283039998	88429168	5.05623	752
95.9213202229998	87235952	4.6486	693
96.4246503040002	85153400	4.91886	806
96.7960295830002	90396816	4.99677	813
97.159639455	95681968	4.8074	700
97.5253887190002	92311768	5.13215	697
97.898999487	91203760	5.09602	725
98.2624993750002	83394952	4.90901	669
98.6253551989998	83666256	4.41815	682
98.9893480309998	93545264	5.12959	746
99.3520911349998	88676880	4.52752	718
