MS:1000894_[sec]	MS:1000285	S/N	peak_count
0.45169999998	456473	37.3118	187
2.91739999998	1614235	2.74113	4226
5.73739999998	6277815	2.42813	2436
6.79750000002	12930270	2.285	2615
7.7475	17177276	2.18321	2983
8.67739999998	22309310	2.21119	3380
9.5874	21699990	2.24473	3639
10.52749999998	16779978	2.25472	3243
11.45749999998	20862836	2.17098	3371
12.37750000002	18490286	2.18971	3353
13.31740000002	17812040	2.18486	3521
14.2674	25444894	2.14751	3537
15.1575	24963962	2.15515	3724
16.07749999998	22529424	2.19302	3957
17.00740000002	27871754	2.16579	4125
17.91739999998	29580408	2.16274	4606
18.83749999998	29395336	2.16923	4478
19.75750000002	29158000	2.15525	4416
20.6775	30302570	2.14955	4348
21.5874	32261262	2.16268	4442
22.50739999998	27042600	2.16492	4453
23.42770000002	31582404	2.1196	4360
24.3576	31187430	2.08997	4287
25.2474	32080072	2.12135	4323
26.1474	28405644	2.1458	4151
27.06739999998	29568730	2.12098	4285
27.9774	28721544	2.08856	4093
28.88749999998	28358618	2.10719	4064
29.79739999998	26473978	2.12167	4054
30.71740000002	24437252	2.10646	3800
31.6275	22936670	2.0987	3625
32.54749999998	21265522	2.12452	3424
33.46750000002	21074728	2.09645	3507
34.3875	21474726	2.11523	3632
35.30749999998	17570150	2.09111	3221
36.2376	18136714	2.07642	3252
37.16749999998	16644271	2.04713	3060
38.09740000002	16017128	2.03577	3164
39.02740000002	15752676	2.03519	3133
39.9675	15174688	2.05362	2986
40.9074	14151120	2.01667	2857
41.8374	12951013	2.01466	2821
42.78739999998	12537311	1.98437	2852
43.73740000002	12856521	2.0246	2872
44.68750000002	12557380	2.00666	2971
45.63739999998	13128233	1.9984	2866
46.58740000002	12864245	1.99371	2962
47.52739999998	13136358	1.99874	3075
48.47740000002	12591288	2.03443	2830
49.43749999998	12730631	2.01465	2737
50.3874	12305781	2.01883	2677
51.32749999998	13085941	2.09732	2700
52.25749999998	12564213	2.03527	2590
53.19739999998	13220849	2.00584	2465
54.11740000002	13960679	2.04402	2475
55.0374	14996217	2.01691	2462
55.94740000002	16526447	2.0765	2442
56.8575	16627190	2.09954	2169
57.74749999998	18472330	2.08779	2066
58.6275	18187408	2.05581	1758
59.49739999998	20377210	2.01982	1654
60.52339999998	22727398	2.02712	1465
61.3278	23691842	2.06483	1288
62.2779	23005730	2.09169	1150
63.22780000002	22583844	2.10696	1083
64.18849999998	25233116	2.04191	1106
65.1279	25967568	2.09357	1044
66.07780000002	23778782	2.02069	950
67.01779999998	20487152	2.03534	927
67.96780000002	19758208	2.03832	945
68.9178	19119074	2.06441	1101
69.8778	14505722	2.03979	1100
70.8378	11636348	1.91407	1202
71.81770000002	9540095	1.9354	1135
72.79780000002	8030168	1.91883	1190
73.79779999998	6180588	1.90282	1060
74.7978	5487698	1.89565	1063
75.82780000002	5546042	1.8898	1216
76.8477	4641358	1.89725	1078
77.8878	4613559	1.9567	1117
78.92779999998	4534767	2.01854	1212
79.9779	3865139	2.0288	1030
81.02779999998	3637832	1.95779	1045
82.09780000002	3972032	1.97466	1180
83.15809999998	3597487	1.95503	1070
84.22780000002	3517242	2.02312	1087
85.29859999998	3370998	2.03472	1025
86.38780000002	3838311	1.95573	1183
87.43780000002	3988668	2.0075	1215
88.51780000002	4273362	1.94371	1312
89.57779999998	4315643	1.99206	1209
90.67429999998	3984599	1.90848	1237
91.60750000002	3866901	1.95509	1205
92.58739999998	3485476	1.96458	1151
93.55750000002	3256737	1.98727	1047
94.52740000002	3155442	1.97413	1081
95.50750000002	3084231	1.99062	1109
96.49750000002	2874418	2.06528	1046
97.49740000002	2687572	2.03423	1022
98.49829999998	2450961	2.12456	962
99.49750000002	2278220	2.16905	955
100.52749999998	2245107	2.25421	893
101.5374	2113496	2.29293	839
102.56749999998	2135317	2.28977	883
103.58749999998	2168478	2.25845	898
104.60749999998	1950384	2.38781	847
105.64750000002	1887443	2.47936	796
106.68739999998	1877454	2.51858	751
107.71750000002	1946953	2.40269	805
108.74749999998	1840709	2.44413	768
109.77739999998	1939405	2.50277	829
110.82739999998	1789350	2.50464	763
111.86749999998	1678783	2.52675	732
112.92739999998	1638201	2.5567	746
113.97739999998	1715467	2.53518	771
115.04749999998	1687529	2.65234	789
116.1075	1659613	2.69135	794
117.1875	1597902	2.84611	677
118.25740000002	1563261	2.7903	688
119.3274	1491650	2.74185	732
120.40750000002	1577463	2.72106	729
121.47739999998	1634476	2.79238	764
122.55739999998	1536179	2.80952	713
123.6474	1442210	2.87034	701
124.73749999998	1382606	2.92118	647
125.83750000002	1379074	3.03518	668
126.93739999998	1403350	2.87659	718
128.04739999998	1328015	2.99058	637
129.14749999998	1330620	3.18925	649
130.26760000002	1364965	3.15965	635
131.35750000002	1280448	3.14407	608
132.47740000002	1247254	3.23667	655
133.61740000002	1305498	3.30439	625
134.7375	1245998	3.14382	644
135.86740000002	1386298	3.20075	710
136.9875	1226116	3.37962	588
138.11749999998	1232095	3.47088	619
139.26739999998	1177098	3.40754	610
140.42740000002	1135031	3.53976	580
141.5775	1181809	3.44659	615
142.7274	1213167	3.51991	593
143.87749999998	1169199	3.48351	608
145.0275	1119780	3.50802	610
146.20759999998	1109516	3.72338	581
147.37750000002	1127782	3.70696	567
148.53739999998	1164290	3.69408	597
149.7075	1119243	3.74842	551
150.86749999998	1077603	3.90685	553
152.03740000002	1124395	3.83141	562
153.20749999998	1069012	3.98967	547
154.37779999998	1112378	3.94551	566
155.54770000002	1098940	3.96733	548
156.71740000002	1089561	4.06758	525
157.88740000002	1087410	4.11366	533
159.05749999998	1076613	4.09203	539
160.2474	1087333	4.58537	484
161.40739999998	1136461	4.43498	540
162.58750000002	1018329	4.3749	529
163.7775	1068022	4.45232	514
164.97739999998	1059076	4.44471	505
166.1574	1037189	4.14117	484
167.3175	1085389	4.29027	521
168.4875	1090822	4.41454	487
169.64740000002	1025076	4.29793	498
170.8074	1050629	4.53333	451
171.9675	1057391	4.91768	434
173.12740000002	1008042	4.81877	435
174.29740000002	1067069	4.60272	470
175.45750000002	1011568	4.49263	458
176.6175	1100212	5.00322	449
177.77749999998	1019730	4.4072	489
178.94740000002	995096	5.17232	415
180.1275	1061414	4.67514	483
181.2975	926363	5.02307	407
182.4774	1090048	4.54541	482
183.6375	1006242	4.7703	458
184.8174	981204	5.12841	403
185.98759999998	1010344	4.88088	444
187.1574	1023927	4.96107	445
188.35750000002	1077813	5.14845	450
189.49750000002	1033567	5.69145	388
190.65739999998	1034827	5.59183	390
191.81740000002	1016923	5.4538	401
192.9975	1036722	5.25067	423
194.15740000002	1005151	5.4398	407
195.3375	979396	5.17202	397
196.5075	1051806	5.45627	401
197.6475	1015201	5.79965	373
198.80740000002	981058	5.49833	393
199.9974	1051012	5.65086	409
201.15739999998	1017150	6.32867	350
202.31749999998	999201	5.46372	414
203.48740000002	973898	5.3539	395
204.65749999998	982272	5.56411	394
205.82749999998	850686	5.50691	360
207.03739999998	1007686	5.60956	408
208.19749999998	951998	5.79661	374
209.36770000002	898022	5.67886	378
210.56749999998	986728	6.1367	366
211.73740000002	977347	5.77767	383
212.90749999998	917890	5.87975	383
214.1175	922953	5.93275	358
215.2974	957833	5.6573	396
216.47740000002	940999	5.70379	377
217.6674	950192	6.07245	357
218.82739999998	953220	5.53839	382
219.99739999998	955143	6.00484	378
221.1774	918820	6.18154	336
222.3675	873965	6.42872	331
223.53739999998	985084	5.64908	388
224.70739999998	952362	6.22769	345
225.87760000002	965098	5.792	371
227.03749999998	955549	5.98523	358
228.20740000002	886656	5.71183	359
229.37740000002	879935	6.17825	315
230.54749999998	762768	6.19309	340
231.7875	868492	6.38196	309
232.95739999998	929850	5.59049	348
234.1074	991960	5.77215	354
235.2375	1030826	5.3083	395
236.39740000002	879272	5.7577	335
237.54760000002	922206	6.40721	327
238.70749999998	1274043	6.83664	371
239.81770000002	2903578	17.383	370
240.94750000002	10802556	26.644	486
241.94740000002	23254444	30.2623	500
242.8677	37007832	26.8964	556
243.74749999998	46976312	23.5271	594
244.61749999998	52425508	22.1338	593
245.4774	57250660	19.5534	613
251.4279	51112844	16.1832	636
258.5979	54943580	18.6886	625
261.05800000002	53646528	19.6866	615
263.7081	52232416	19.9069	605
269.1279	50713780	20.8943	569
271.12789999998	48609128	20.4237	562
271.64740000002	53706088	18.9779	619
272.48740000002	53628180	19.2402	613
276.17869999998	45260664	21.3087	549
281.1579	42988560	23.1307	542
284.08789999998	39884220	23.087	553
290.76790000002	38677872	24.2939	551
292.3179	37507404	23.8222	537
292.83739999998	40460836	24.3866	538
293.70739999998	39474424	24.5883	509
294.5775	38799584	23.8429	534
295.44739999998	41193580	24.3918	534
296.33740000002	39473948	23.7221	531
297.1875	40753028	23.4175	551
298.05739999998	39669028	22.7542	552
298.9176	39811104	23.6048	552
299.78740000002	38837012	22.5045	589
300.66739999998	38049896	22.8185	577
304.50799999998	34036024	24.5858	559
305.03740000002	37998048	23.5633	540
305.90770000002	36789892	24.7047	542
306.7875	36916624	23.693	551
307.6575	37542904	24.665	496
308.52739999998	35729184	25.621	494
309.40750000002	35085920	24.5716	548
310.27759999998	35576956	23.8418	548
315.528	31137180	26.9436	499
316.06750000002	33348814	25.8788	526
316.94740000002	33894304	24.8786	525
322.63789999998	30158524	26.6672	488
323.1777	33240950	26.1944	518
324.05749999998	32146036	26.0476	508
324.93739999998	30361788	26.2044	499
325.82740000002	33437104	24.8403	558
326.70739999998	32078004	25.7571	503
327.58750000002	32454164	26.2129	511
328.46749999998	30997814	26.0847	508
329.3574	32247250	26.3098	494
330.23749999998	32064036	26.5639	479
331.1175	31479002	26.3541	489
331.9974	31423574	26.7209	482
332.8875	30277326	27.0014	477
333.7674	31740236	25.376	504
334.65739999998	30725046	25.3181	522
335.54749999998	30749850	25.0271	536
336.4275	31770658	25.686	507
337.30750000002	31905568	27.5759	470
338.1975	30765390	26.7732	495
339.0774	30563592	26.4813	482
342.13789999998	26917448	25.9406	536
342.68740000002	30111346	26.7847	476
343.57750000002	29537638	26.1583	517
344.4675	31383336	26.6535	488
345.34750000002	30153824	28.1216	464
348.11800000002	26933698	26.458	525
349.8279	26708300	28.3981	467
350.39830000002	28815520	27.5241	472
351.26749999998	29006692	27.1608	517
352.15750000002	28645372	26.3852	493
353.0475	28514446	27.0713	517
353.93749999998	28474472	25.5083	518
354.82750000002	28624316	28.4366	464
355.7274	27626542	26.7871	476
356.61739999998	27352970	28.5166	468
357.50749999998	28028082	27.1067	479
358.40749999998	27059266	27.8784	478
359.28739999998	29265428	25.5081	534
360.1782	27152848	27.816	469
361.07749999998	28026780	28.104	477
361.96750000002	27965998	28.4048	499
362.85739999998	26461614	27.8921	480
363.7575	27834858	27.6347	489
364.64740000002	27640276	28.8576	446
365.53750000002	27114818	27.1009	477
366.43750000002	27159346	27.3386	484
367.32739999998	26698212	28.2436	451
368.21749999998	27149122	27.5458	484
369.1275	27565482	27.936	475
370.00750000002	26815926	27.4864	482
370.89769999998	26644288	27.9702	465
371.79739999998	26683954	26.9701	489
372.68740000002	24428838	28.9028	456
373.5975	24642112	29.1876	470
374.4975	24573978	27.4173	486
375.3975	25473316	27.0818	485
376.28749999998	24941376	28.5403	462
377.1975	25923798	27.85	478
378.08749999998	25053172	27.3465	476
