MS:1000894_[sec]	MS:1000285
27.12	1281710.875
175.032	631477.875
344.232	7759772.5
402.426	13227024
457.626	15585867
512.28	23033458
566.232	18651390
621.432	22977482
678.426	21127566
736.632	19675742
795.432	18674338
856.044	22271184
914.832	25826882
973.032	30491158
1031.298	33226272
1087.032	34209352
1143.432	35075304
1199.826	37387544
1256.226	38766900
1312.632	36462772
1368.426	33688284
1424.226	32107332
1481.226	32592390
1537.644	31206850
1594.632	29682324
1652.232	30081452
1708.632	26723308
1765.626	23989510
1823.232	23740716
1880.838	23134704
1939.026	23818232
1996.032	23534408
2053.632	22267578
2111.232	18110110
2169.432	15779698
2228.28	15260893
2287.626	14380300
2347.032	13367096
2407.074	12100309
2467.026	11731303
2527.626	11252410
2588.826	10257689
2648.826	10962760
2709.432	11599527
2768.826	10806791
2829.486	10574570
2888.832	11663326
2948.226	11826445
3007.032	12501270
3065.238	12093280
3123.426	12734124
3180.432	12903703
3238.032	13876209
3294.426	15393808
3349.632	16340482
3404.832	16458313
3458.826	17901324
3512.226	18314160
3573.24	21100068
3624.45	24947068
3682.65	25306488
3739.65	26957634
3797.25	28825568
3854.25	26050596
3911.256	26116578
3968.25	24527602
4025.25	22396054
4082.856	19452134
4140.45	16752297
4198.65	12661714
4257.45	10758845
4318.05	7401978.5
4379.25	6022293.5
4442.25	4711848
4506.468	4235351.5
4571.25	3761528.5
4637.256	3531042
4705.05	3196322
4773.45	3058771
4841.25	2998857.5
4910.25	2842859.5
4980.45	2694227.75
5050.05	2610413.75
5122.656	2674560.75
5191.05	2873290.75
5261.85	3235618
5331.45	3268065.75
5403.258	3091901.25
5465.832	2939710.5
5530.074	2805473.25
5596.032	2682680.25
5660.286	2369409.5
5727.432	2156546.25
5794.626	2024964.375
5862.432	1932664.625
5931.432	1996806
6001.032	1866016.875
6071.232	1768994.125
6143.232	1676656.375
6215.232	1628776.125
6287.826	1435806.375
6361.632	1531616
6433.632	1663412.25
6503.832	1443263.5
6577.626	1455671.25
6650.832	1389323.5
6725.232	1399398.25
6800.226	1378725.5
6874.032	1300974
6947.826	1273640.375
7024.626	1335249.375
7099.032	1275944.875
7174.032	1243388.125
7249.032	1203951.25
7324.626	1230489.875
7401.438	1228454.25
7477.032	1203728.75
7553.826	1121933
7631.238	1216210.375
7708.044	1147284.25
7786.626	1226204.125
7861.632	1102267
7939.632	1135539.125
8017.626	1043761.4375
8097.426	1150262.25
8174.838	1076417.375
8254.032	1122536.75
8332.026	1111115.25
8411.232	1048015.3125
8491.044	1159025.875
8566.632	1054717.25
8647.032	1001542.5625
8726.832	1052655.375
8806.626	1088320.625
8885.832	993895.4375
8966.244	2472389.5
9025.632	1018667.4375
9107.226	869246.875
9190.68	1053623.375
9268.626	988416.4375
9349.026	940476.3125
9430.626	962600.375
9512.832	949624.5625
9594.426	924091.125
9676.632	928464.1875
9759.432	1017564.0625
9840.426	947782.125
9923.226	964000.875
10003.632	1277146.875
10076.826	937570.1875
10160.226	1860739.875
10221.432	933296.6875
10303.026	2309178.25
10363.026	965239.9375
10443.426	958127.3125
10525.632	979822.375
10604.826	1205836.5
10678.632	1064810.375
10755.438	2542896.75
10814.232	715508.375
10903.632	1170203.5
10978.032	2541536
11035.626	825736.3125
11119.626	998102.0625
11196.432	1196070.125
11269.632	805810.5
11353.032	867085.3125
11434.032	884272.3125
11514.438	940306.375
11592.474	820786.375
11674.032	880961.625
11755.032	849460.375
11837.832	922979.6875
11917.032	903242.5625
11996.28	1084309.125
12070.032	1067598.875
12143.832	1170219.25
12215.226	1141271.75
12286.632	1296707.75
12355.026	1027906.3125
12428.832	877403.375
12508.632	1155044.875
12579.426	908462.125
12656.832	1135615.125
12728.832	943571.5
12804.432	1067207.5
12877.626	1053389.5
12952.026	1164028.875
13021.632	1068631
13094.832	2136394.25
13153.032	928170
13229.232	2100490
13287.438	935139.1875
13363.626	2087786.375
13422.426	1025879.375
13496.232	785225.0625
13576.626	978335.4375
13650.426	737144.375
13732.032	1178828.5
13800.444	1054431.75
13870.632	1774130.125
13931.826	847199.1875
14007.432	842232
14082.426	900027.875
14154.432	823436.5
14228.85	860436.3125
14302.032	1037209.625
14374.032	2305345.5
14445.432	9951833
14504.832	7024296.5
14572.032	38095876
14625.426	43581280
14676.432	51702392
14728.032	58769944
14779.632	56227060
14829.624	32696.46484375
14890.104	7275.74560546875
14956.656	54862992
14987.232	25785726
15034.194	2934.85620117188
15274.872	3235.09326171875
15673.656	37607408
15706.026	55399312
15756.438	27962820
15803.484	2076.3515625
15942.582	4339.6953125
16070.256	5626470
16129.026	54005252
16180.026	27193070
16225.014	3984.19677734375
16356.456	6986293.5
16404.426	6326060.5
16472.832	25935718
16525.032	4944865.5
16599.438	24428632
16650.432	4815143.5
16723.632	39671324
16775.232	39764308
16826.832	34692032
16878.426	33756004
16930.632	36764724
16982.226	42764532
17034.432	43334692
17080.2	1715.02819824219
17285.742	16557.6171875
17402.256	13933131
17434.026	25844860
17486.226	36446280
17538.432	3496217.25
17612.232	33244202
17664.426	16464660
