MS:1000894_[sec]	MS:1000285
2.0463066	66335.789
27.11844648	39899028
46.9112472	39601668
66.711006	44827432
83.9028024	353021.41
89.3622636	363316.5
94.8675636	164020.67
100.3130424	174965.81
105.7567824	93259.664
111.2107824	106947.9
116.6540436	89507
122.1595812	54104.32
127.6122024	259133.67
133.0563636	93109.398
140.1576048	41612148
157.3487424	128818.91
164.441646	42838048
189.9417672	44812760
209.7569448	46891180
229.5558648	48133056
249.356466	44049336
269.155746	61863432
288.955926	73476128
308.755206	61310568
328.5475272	55166316
345.7461636	59826.988
352.8316872	51957584
378.57888	53685304
398.386692	53282176
418.186404	39797736
435.38544	40355.906
442.478484	45278464
462.2634	49552676
482.055012	41440036
499.254588	67072.242
506.35512	46842956
526.14	40584748
545.93208	43812544
565.73964	43898056
585.531612	51243040
605.301912	51253824
625.086252	45601972
642.284748	105486.66
649.370772	52763080
669.155652	49945780
688.947804	62682340
708.7482	58586732
725.9463	64125.723
733.046724	49364488
750.238812	43604.18
757.338984	49505468
774.538452	281024.25
781.623864	50559252
807.09372	64777408
826.885944	50075580
846.68562	40596868
866.477952	47852376
886.269744	45265736
906.062004	43375536
925.861752	41449536
943.053228	87262.531
950.14674	42400888
975.668544	39884680
995.46876	46050628
1015.268112	42426696
1035.060732	43651472
1054.86012	40129984
1074.65274	41855708
1094.44446	45220056
1114.23726	43513836
1134.021564	41563828
1153.81368	44534144
1173.60594	40000696
1193.40576	43833688
1213.19802	42135340
1232.997732	45631440
1252.78992	50213984
1272.597192	43329380
1292.359824	40523832
1312.15914	42130632
1331.959392	39543088
1351.758672	39794792
1371.5514	42711200
1391.350644	39956844
1411.15842	48106488
1430.95014	44571880
1450.757844	41132952
1470.557124	39384300
1490.34978	40604328
1510.149564	38452440
1529.941824	40938124
1549.73358	38675088
1569.533724	39168132
1589.2956	40880836
1609.08822	48057148
1628.887572	48159900
1648.68732	43725752
1668.479544	38906164
1688.249304	39507200
1708.041492	42072056
1727.84124	49497604
1747.63386	43256976
1767.42576	46346488
1787.21838	38346556
1807.018272	42610260
1824.216732	73221.07
1831.30236	43242920
1856.809944	39081328
1876.601844	37475232
1896.40206	41573540
1913.600988	327520.03
1920.686184	50446748
1937.885832	286299.75
1944.971352	44527768
1962.163152	122889.86
1967.614452	219791.42
1974.708	51626568
1991.907792	204314.38
1997.352	126917.56
2002.796568	81528.258
2009.898072	49402668
2027.097288	75201.766
2032.541568	261689.55
2038.031388	131421.34
2045.124972	45825088
2070.887112	51706476
2090.6865	45429612
2110.47912	44743032
2127.67812	332382.97
2134.838484	45263564
2154.608172	66469736
2174.377932	48142944
2194.17768	54254440
2211.368652	34566.035
2218.462272	44951064
2238.240132	47707320
2258.039844	46861180
2275.232148	119979.24
2282.331852	46788204
2302.116264	49750608
2321.923932	41224268
2341.723284	40256208
2361.515904	47570392
2381.315184	41325948
2401.122924	42703048
2420.914752	42215892
2440.714824	34208428
2457.91332	58462.031
2465.006904	42374900
2490.53616	42350404
2510.32896	43732932
2530.12824	42316840
2549.920932	34096512
2569.720284	46449904
2589.497424	61064372
2609.282232	56377172
2629.07442	44118288
2648.867292	47735832
2666.058588	37765.457
2673.151812	41918124
2698.61346	44965960
2718.384084	43446564
2738.160504	39260940
2757.960324	39991932
2777.760144	41223408
2797.55226	42536616
2817.351972	43859088
2837.151864	41123340
2856.943944	45707892
2876.743692	44590812
2896.535952	42149956
2916.328284	44263400
2936.121372	46599848
2955.912732	47543292
2975.71284	46579516
2995.47468	38492772
3015.23688	46741876
3035.029212	47831160
3054.79926	43968212
3074.606532	44706380
3091.805028	49363.723
3098.890764	58632584
3124.443492	47301816
3144.235212	50917548
3164.034924	57675732
3183.8346	46171932
3203.64198	50097264
3223.44918	49495800
3243.24882	44267320
3263.048604	50304040
3282.8409	43455704
3302.63316	42605436
3322.395864	42691872
3342.188304	46657340
3361.95738	44806384
3381.75036	49250200
3401.541864	44908476
3421.334124	47106328
3441.1338	45068196
