MS:1000894_[sec]	MS:1000285	S/N	peak_count
0.0341440254	98956	1.23585	27
0.458895024	106073624	19.0878	1230
0.789009	102015168	19.1709	1245
1.11913002	103361728	20.0771	1181
2.345871	103319376	21.3804	1128
2.67374202	103927360	19.4462	1182
3.002613	102301016	19.7038	1155
3.40598304	104875424	19.427	1116
3.81047004	102358648	19.9515	1208
4.14010002	102416608	19.3803	1192
4.46946804	103715824	19.7116	1210
4.873833	105941424	19.9856	1192
5.20282602	104146824	20.1361	1220
5.60757102	100748152	19.6056	1182
6.012576	102629144	19.8349	1172
6.3423102	100366768	19.546	1191
6.745809	100677896	20.4417	1084
7.15068	97830472	18.8609	1226
7.479921	102743560	20.1735	1168
7.8100482	100961800	19.0693	1212
8.1399198	99476088	19.3119	1257
8.544042	105877176	19.947	1164
8.8727778	113186968	21.9901	1122
9.201273	113275312	21.0635	1151
9.530904	97593536	20.4924	1081
9.8608938	107416224	21.374	1119
10.1907612	99044664	18.6992	1211
10.520394	104599776	19.2566	1203
10.849002	110782864	21.1684	1100
11.1780072	106221592	19.7151	1170
11.5078692	93252336	19.4636	1135
11.837493	105077832	19.977	1153
12.167484	107356584	19.4999	1215
12.663729	105753320	19.1131	1179
13.0925982	101046224	19.825	1179
13.4222238	109951432	20.7512	1183
13.7522142	104762432	19.5814	1213
14.1572172	105110576	20.1452	1236
14.560836	111271080	19.5866	1159
14.8893372	109564368	19.1156	1171
15.219204	105314432	20.7937	1126
15.54732	114958424	19.6746	1263
15.8763252	108746224	19.0236	1267
16.280313	106328784	18.5699	1249
16.6093068	103987416	18.3743	1261
16.9388052	104115744	19.0081	1217
17.2687932	102091656	19.2678	1196
17.5979232	104091856	19.314	1294
17.9271672	101954984	19.5707	1167
18.3317778	101669024	20.1644	1151
18.6600252	106199160	19.1058	1176
18.9886542	105366176	19.7291	1208
19.317024	107763048	19.6588	1193
19.6460118	103167800	19.1985	1154
19.9747578	107703592	19.8086	1181
20.3027532	106619720	19.6557	1133
20.631498	105193472	18.9358	1172
21.1259922	101561048	22.2535	963
21.4536198	113539984	18.8737	1252
21.7819932	108530592	18.7909	1221
22.1868612	108894096	19.4603	1257
22.51485	107913352	19.3697	1192
22.8445962	100092192	19.1752	1202
23.1735972	97127296	18.9203	1187
23.5030878	102698320	19.0069	1214
23.8324572	101227480	18.9966	1204
24.161961	101794992	18.6362	1214
24.4914582	101710600	19.2736	1167
24.820452	100478040	18.7726	1229
25.1504472	100043528	19.186	1206
25.4795688	103183352	19.025	1191
25.807818	105382088	19.001	1278
26.1378048	98624032	19.1273	1177
26.466429	104599120	18.8394	1266
26.79555	103092760	19.7893	1147
27.1249218	103516896	19.0447	1222
27.454044	104382344	19.7037	1221
27.8574108	104827512	19.3095	1202
28.279275	103238896	19.2233	1150
28.6080198	102513368	19.8275	1122
28.936518	106631072	19.3166	1166
29.2643862	106088960	19.8863	1168
29.5927662	100246112	19.118	1151
29.9208852	107403928	19.9815	1158
30.2483838	109173224	18.7595	1198
30.5770008	99072920	18.8249	1120
30.905991	103164320	19.8142	1155
31.2342402	102897984	19.5927	1171
31.562358	105243608	19.6837	1170
31.965477	102861584	19.2746	1138
32.513973	108648320	20.2	1150
32.916849	109688480	19.5911	1159
33.4089552	105934392	19.7721	1084
33.99495	102053376	20.6523	1017
34.3994442	98635568	20.3248	1089
34.8301878	101350040	18.8734	1163
35.158935	106359864	19.9592	1168
35.4869298	106442696	19.5976	1140
35.813436	111053536	19.8571	1115
36.1413042	101701368	18.2623	1206
36.4701672	103160856	18.9084	1206
36.7980378	108932056	20.4849	1094
37.1272932	111573488	18.8429	1289
37.5301548	110264504	20.2954	1144
37.9511478	105090608	18.7352	1151
38.279652	100321880	20.6766	1055
38.607264	113062368	20.0452	1146
39.0098838	105387376	19.7376	1139
39.4132518	109282688	20.1961	1174
39.7416288	107463480	19.4525	1186
40.071006	109178128	19.2935	1207
40.4005032	103830496	19.3842	1176
40.7281212	119076232	22.5042	1069
41.1297312	116576152	19.3931	1171
41.532351	116735824	20.5998	1165
42.025977	110565976	18.5647	1260
42.4280892	111133888	18.9467	1222
42.9813408	107094440	19.0114	1224
43.385952	106648608	19.936	1171
43.7142042	105352712	18.8105	1205
44.042568	106022016	18.5533	1202
44.3715642	102352456	19.1051	1185
44.700318	99592912	19.6309	1164
45.1038048	99180176	18.6926	1181
45.4329282	103339368	18.9484	1190
45.7615452	104560296	19.497	1195
46.0905492	104513400	19.1861	1170
46.4197962	102645704	19.0882	1205
46.7485398	104348624	19.2433	1206
47.0771532	104753096	19.562	1170
47.4060318	102147040	19.257	1216
47.7355278	103768496	19.064	1202
48.0637728	102028464	19.0304	1147
48.3921438	104427032	19.1506	1205
48.7207578	106630360	19.6706	1197
49.0493772	106550568	19.6076	1163
49.453371	100531904	19.4865	1170
49.8768648	100421672	19.111	1152
50.2056198	99853400	18.9788	1187
50.5331088	104071448	19.8674	1125
50.8606032	106284208	22.3329	1008
51.189975	107783248	19.5239	1223
51.517845	108061816	19.4573	1131
51.9220902	101230368	19.7244	1134
52.2505872	102942376	18.842	1234
52.579713	105862904	19.4448	1179
52.9077042	102423000	19.9868	1128
53.2358232	103601232	19.571	1195
53.56407	101295472	19.1841	1171
53.965566	105789336	20.2575	1063
54.293691	106441656	19.9667	1137
54.6216888	107619224	20.116	1138
54.950175	109188288	19.5316	1162
55.2779232	114398464	19.628	1189
55.6066752	105601680	17.9586	1214
55.9330398	119477152	19.9905	1210
56.2602912	109586624	18.5145	1172
56.5890372	103798176	19.4555	1189
56.9171562	106508992	18.0778	1200
57.244776	107197808	19.051	1123
57.572142	110005536	18.6193	1174
57.9007698	102432472	18.7835	1175
58.2303912	107051800	18.807	1308
58.5582528	111455216	19.6693	1248
58.8869982	104544152	19.1553	1186
59.2148688	106139664	19.0814	1193
59.542239	106368192	19.0607	1145
59.9462352	98255184	19.0811	1180
60.368604	100889872	18.7459	1189
60.697476	103486048	19.5507	1151
61.026102	104668000	19.8449	1184
61.354974	103389616	18.7987	1198
61.683096	106133312	18.8557	1190
62.011716	106659656	19.27	1204
62.41446	107630680	19.3153	1170
62.817456	104503176	18.7429	1168
63.364938	106230096	18.9962	1197
63.767808	97924648	19.7624	1110
64.263432	102721104	19.1834	1225
64.849674	99307064	19.722	1117
65.17779	97428800	19.3105	1109
65.505792	100921624	19.0083	1142
65.91003	102881688	18.8187	1201
66.238908	99768104	18.7852	1189
66.5679	100708352	18.68	1165
66.971904	102220392	19.6458	1157
67.375272	105134136	19.0649	1200
67.703766	100482752	19.2268	1170
68.03226	102410176	18.4249	1184
68.360502	103378008	19.1279	1164
68.688744	104076656	19.5248	1179
69.01749	102273272	19.1432	1201
69.345996	102733664	19.4881	1159
69.673986	102023568	19.0987	1122
70.16961	98609416	19.2941	1154
70.49835	100486416	18.94	1152
70.827594	104637464	19.3079	1179
71.155962	107000520	19.1053	1219
71.559084	101772416	19.4413	1120
71.88633	106689344	19.8994	1086
72.213702	107043232	20.0535	1092
72.615696	107465520	21.4219	1056
73.019064	108599776	18.7667	1186
73.514436	99246864	20.8016	1085
73.841562	112357136	18.6524	1154
74.167302	115590400	21.1132	1043
74.495796	110544640	18.0873	1255
74.823552	114961544	18.4907	1226
75.227412	108376800	18.848	1244
75.555156	108321416	18.6023	1219
75.88428	104070544	19.2001	1155
76.213032	106399776	18.8776	1157
76.61739	103370288	19.0606	1223
76.945638	96719336	19.4318	1125
77.274642	110725536	19.6312	1212
77.60301	114991672	18.5956	1265
