MS:1000894_[sec]	MS:1000285
2.04960672	73080.68
27.29424672	165287940
46.861506	160410380
66.436326	171475920
83.6355636	978282.88
89.1473436	558443.75
94.6002636	369215.66
100.0443024	374583.28
105.4895436	2570243.2
110.9427624	370331.12
116.3875824	198600.84
121.8921012	143258.61
127.4722812	134762.88
134.2873872	168252180
159.4645884	176532130
179.0397684	163993730
198.6291072	168054430
218.3018472	158787500
235.5004224	102300.65
242.3759472	175234820
259.5772836	71424.883
266.5036872	163884180
286.1458884	167388020
305.6531472	180250770
322.8446412	119922.07
329.6752272	188105950
349.1826084	188366110
368.824212	182772030
388.489104	166440030
408.146292	172265390
427.848552	163643810
447.611112	153618320
467.29854	166376180
487.1052	163021810
506.73258	167959810
523.924272	210411.59
530.8677	171018460
556.479432	171493260
576.08406	176984930
595.786464	160783460
615.57156	168044220
635.370912	153368660
655.080624	168621780
674.76798	175026590
694.34334	183284620
714.037464	163751470
731.22984	697936.5
738.32238	159963790
763.859592	157176260
783.6516	154450910
803.414124	154712140
823.18356	165480370
842.95386	160943730
862.70058	160020560
882.365112	166214340
902.05254	168828030
919.251468	202725.94
926.224632	170139900
951.559272	158448740
971.262252	160024910
990.979092	168812930
1010.718864	162490530
1030.45068	167638940
1050.11568	170305950
1069.795332	173938750
1089.445284	158077860
1109.20716	191749710
1128.84966	178428270
1148.43168	179693540
1168.02954	187848100
1187.634132	183137310
1207.171044	180811600
1226.836152	171485870
1246.613364	166961730
1266.202584	161136590
1285.972704	160282180
1305.704664	175542290
1325.33226	170783250
1344.959064	175703060
1364.519664	155137300
1384.169004	169856100
1403.96868	176765410
1423.70802	162143280
1443.515652	167522110
1463.293044	168479790
1482.980112	170236830
1502.65944	167688800
1522.407564	164082140
1542.154464	161762990
1561.871664	161282370
1581.626232	163495520
1601.291484	173827820
1621.060452	157051700
1640.75562	174645780
1660.29318	174040770
1680.02496	164650660
1699.824492	160229900
1719.602424	165777040
1739.341944	161597230
1756.546812	62773.941
1763.633592	145210020
1789.268364	160809150
1809.001332	164697550
1828.7253	168926770
1848.457944	171117790
1868.18976	162525380
1887.8994	163030740
1905.0993	1047343.9
1912.147884	166739260
1929.346812	559776.06
1934.791128	380310.19
1941.74928	170947220
1958.94864	393392.31
1964.400372	251820.55
1969.845192	432089.12
1976.863752	150497340
1994.063292	111101.45
2001.0204	180405580
2027.06154	2329271.5
2034.027972	168046240
2053.715652	165739920
2073.417624	174020800
2090.616768	40064.73
2097.597204	171430340
2117.359404	152260300
2137.098672	165923150
2156.733432	169887010
2173.933548	91531.102
2180.869092	174494060
2198.068092	162422.19
2205.06282	162769520
2224.86264	163213200
2244.519792	171376670
2264.229612	171326660
2283.901812	171949180
2303.581824	167009580
2323.246284	171890980
2342.926584	168503260
2360.125692	76442.562
2367.226152	158653070
2393.190792	175153490
2412.93762	162275310
2432.677824	166839660
2452.289652	188712540
2471.93226	176273220
2491.56702	187786740
2511.239292	172187330
2528.438148	68645.734
2535.305904	177248110
2560.625604	165199310
2580.328152	167361200
2600.08272	167627710
2619.852912	159704060
2637.045432	764904
2644.070004	164195970
2663.76474	166731040
2683.437012	166704060
2703.191472	162771620
2720.38356	212032.17
2727.498492	150628080
2747.11068	164518940
2766.850452	144373420
2786.620644	159695570
2806.36002	159407010
2823.552432	184258.33
2830.59252	166972100
2850.279912	166271020
2869.952184	163391570
2889.677124	163566270
2909.409012	163618210
2929.193964	160582930
2948.760612	175536140
2968.485372	157730500
2988.202644	166603660
3007.875384	172224350
3027.607524	149164750
3047.406804	159180190
3067.20702	163507680
3086.946324	160451460
3106.716552	156031970
3126.478644	170064800
3146.173452	173517900
3165.853212	170093200
3185.6454	150861660
3205.437192	156460580
3225.132	165678940
3244.804272	161930820
3264.491484	170376980
3281.690052	217843.7
3288.731544	163604910
3314.096244	144266100
3333.903552	156428220
3353.598432	171570080
3373.352892	167081870
3393.122292	153259230
3412.757592	179913790
3432.489192	164555220
3452.19948	168235170
3471.931764	161365820
3491.679204	171598530
3511.388232	165551580
3531.158064	162105700
3550.852692	159912160
3570.510492	171123300
3587.708628	403541.84
3594.682152	166711360
3620.08476	164261790
3639.77136	169774220
3659.46696	172852180
3679.09416	167711740
3698.856	163843220
3718.51308	176884510
3735.71244	1133852.1
3742.6482	158289940
3759.84792	539546.81
3765.29184	428008.25
3772.31724	178406900
3789.51768	359103.88
3795.03648	251365.41
3800.48868	376039
3807.44676	172696450
3824.64612	142760.7
3831.66468	170949180
3856.92372	176529330
3876.6636	167924420
3896.4258	158148940
3913.62588	2920476.5
3920.62824	170386320
3940.32312	167288930
3960.02484	166230750
3977.2242	378900.72
3984.30252	170643920
4001.50188	87112.102
4008.45924	177311140
4028.15376	171662690
4047.84864	175503520
4067.57412	163074020
4084.76484	69647.758
4091.63328	177819330
4111.25292	178663630
4130.9028	175001940
4150.59768	167163710
4170.21696	170872720
4187.40912	149368.56
4194.4716	173261460
4211.67096	94822.594
4218.72696	163609950
4238.51148	183486030
4258.16136	175516030
4277.826	174176350
4297.60332	177178270
4317.17796	185262450
4336.8804	163521090
4356.61992	171720980
4376.322	162762430
4395.942	166806190
4415.47884	167307280
4435.14348	171006740
4454.8308	162537330
4474.5336	175327860
4494.19788	168666080
4513.923	164313490
4533.5952	174164000
4553.2602	166395300
4572.91692	178426420
4592.65716	173042610
4612.23936	177953600
4629.43872	810687.56
4636.47096	167808290
4662.30096	178723330
4681.9134	178154900
4701.54024	179654290
4721.19732	173888350
4740.8922	169904720
4760.48952	171904220
4780.17648	170443010
4799.73672	161298700
4819.45392	150722180
4836.65436	214034.67
