MS:1000894_[sec]	MS:1000285	S/N	peak_count
0.0343800828	85357	1.26354	24
0.452874084	45960076	15.1778	889
0.77900808	54842296	16.5367	853
1.10912106	50792228	16.622	894
2.23885806	54207928	17.0066	828
2.78422506	52897444	16.4802	894
3.2074701	42050652	15.912	817
3.5374641	44607476	15.7436	858
3.8674641	48161172	16.623	820
4.27133208	53639808	16.6444	864
4.60019808	49869128	15.6521	885
4.92982506	43508548	15.0985	864
5.2599381	44146396	15.2579	889
5.58981006	47616000	15.4521	909
5.91981108	49032308	15.2288	918
6.2493012	47975728	15.8224	908
6.5773038	51106412	16.1104	873
6.9061662	50534780	16.8836	863
7.2324192	52766792	17.0586	786
7.561908	46162668	14.9162	931
7.8917922	44379484	14.5379	919
8.221656	46477608	15.7746	878
8.55165	50959632	16.2236	950
8.881647	40272940	15.9311	810
9.211392	51826240	16.8058	913
9.541389	50990556	15.9634	934
9.8687592	47981376	15.9948	840
10.197873	47038080	16.3832	852
10.524633	53731824	16.0052	852
10.8529902	58305444	18.1892	877
11.1824922	47860472	15.0242	924
11.5118562	55758108	16.0433	935
11.841852	49460192	15.4575	954
12.1717278	62714716	17.1297	999
12.501717	49638688	16.0818	878
12.83172	48080896	15.0551	950
13.1617098	46571136	15.5296	865
13.491588	49510808	15.9903	893
13.8965748	48081208	14.8861	958
14.3230758	41884000	15.2378	856
14.6529468	47703196	15.2347	954
14.9828178	46587192	16.1029	853
15.3129402	41668280	15.7414	826
15.642801	45957512	15.2855	903
15.9726792	41016584	15.5266	820
16.302669	50133708	16.1236	913
16.6325442	44779768	15.9602	861
16.9624188	45626060	16.5564	839
17.367288	48760388	16.333	879
17.790648	46935904	15.7156	902
18.1204008	55863184	16.3556	977
18.4502658	56482312	17.1346	997
18.7771422	52862304	16.4449	814
19.1071368	44992808	15.9043	875
19.436502	46296576	15.7631	871
19.7658732	45299104	15.5436	846
20.0952522	43629468	14.9628	896
20.5002378	49554644	16.1301	883
20.9284818	47498556	16.011	909
21.2583612	47015024	16.2148	879
21.588351	50317436	15.9734	927
21.918348	50787280	16.3543	902
22.248216	52742544	16.4564	973
22.578213	43806372	14.9978	907
22.908081	42083732	16.1656	824
23.2374528	40539076	15.6303	824
23.5673232	41999000	15.3632	820
23.8966932	39747300	15.6734	822
24.2265732	40363868	14.6706	838
24.5564358	41943296	14.7166	896
24.886431	41819032	15.258	852
25.2163008	53489660	16.186	957
25.5464208	50678768	17.3641	858
25.876293	48232464	15.7913	889
26.206164	46046528	15.8059	842
26.5360338	47463436	15.0775	954
26.8659042	49144056	16.4272	916
27.1959012	48192504	15.5031	913
27.5258952	50344616	16.7583	867
27.8551488	56079484	16.3849	963
28.1852622	47392512	16.2858	859
28.515141	46078156	15.918	866
28.8451302	46029948	15.7911	891
29.1751332	44256664	14.8091	917
29.5051212	42326328	14.913	901
29.8351218	45817452	15.7905	896
30.1652358	51136196	16.9861	881
30.490608	57482380	15.8437	846
30.8182278	58246612	18.0434	826
31.1479752	47087240	15.6772	897
31.4779872	42566456	14.7229	876
31.8829662	52412276	15.6223	1002
32.4329652	54468596	16.3577	922
32.8374588	59318932	16.9116	951
33.333204	61636484	16.9307	1034
33.9195702	53500112	16.1731	964
34.3239318	55451808	15.0803	978
34.756176	39248988	15.7132	813
35.086056	43708312	15.1801	889
35.4160428	40644132	15.9142	843
35.8207872	42776240	15.0414	888
36.225657	43685040	15.9349	869
36.55566	42471260	15.9077	819
36.8855238	48813100	16.5326	861
37.2155268	39414732	15.3244	810
37.5455142	44118368	15.334	921
37.8753942	43994520	15.9374	862
38.20539	48091116	16.2795	883
38.5353768	53713516	17.8164	890
38.8653822	44507548	15.4749	884
39.195618	45224440	15.3261	909
39.525876	50076864	15.6893	913
39.8559918	49963896	16.1439	904
40.1859882	43321772	14.4337	907
40.5158592	54320324	17.6336	874
40.8457302	54629284	16.685	936
41.1756	40936592	15.5529	832
41.5057128	46388568	15.7496	882
41.8358478	53454876	18.155	880
42.1659552	58027196	17.8429	966
42.4958388	52875896	16.8755	953
42.8239458	54819400	15.1065	921
43.154076	47747756	15.7503	905
43.4839368	52191524	17.275	830
43.888689	53609444	16.8082	912
44.3099262	63973580	17.8094	912
44.6362992	66075392	16.0762	949
44.9625438	65984252	16.3161	942
45.2922888	53644312	14.9467	988
45.6217932	65606752	16.8453	1012
45.951789	59810212	16.2661	1009
46.2807762	63362868	17.1993	956
46.6843962	57136560	16.6521	939
47.1075198	58048004	15.6064	894
47.4375108	58126492	16.4089	973
47.7673908	62983340	17.253	992
48.1650078	69819752	15.7334	861
48.5641212	62061804	15.5399	826
48.8939922	54328308	14.5083	990
49.223988	53106244	16.0191	979
49.5539922	51521804	15.3102	992
49.8839778	58060908	16.3158	1014
50.2133568	48940840	15.8135	918
50.6180952	45675244	15.1212	923
50.9475972	41557564	15.3692	848
51.277593	50681224	16.2339	903
51.6070902	51385984	15.0004	984
51.936576	77542752	20.0958	975
52.3399548	56446172	17.5212	894
52.6679502	61513712	16.7704	930
52.9975698	48785688	15.5033	962
53.4023148	59760216	17.6591	969
53.7320598	46684260	15.8171	893
54.061932	55159112	17.1934	906
54.3920532	43202368	16.2005	854
54.721923	51823552	16.8348	906
55.0519188	49413088	15.6984	934
55.3819152	65409004	17.2085	1026
55.7076528	63932376	15.7524	932
56.0370318	47545816	14.5991	926
56.36652	37467900	15.4767	761
56.8623882	54760252	17.4636	894
57.2916312	48441308	16.728	858
57.6215118	55372836	17.0227	880
57.9513732	49166812	16.5522	889
58.2813768	59417576	16.77	954
58.6112412	51202072	15.7211	938
58.941243	47903344	16.097	889
59.2711098	52502320	17.3754	859
59.6006118	55246728	16.5909	933
59.9303478	52589888	16.9787	871
60.26022	44496240	15.9345	816
60.59034	53601056	16.2406	957
60.91947	62128008	17.2557	943
61.249584	61402720	18.408	904
61.579458	49849872	15.5831	941
61.909458	44714040	15.3464	903
62.314194	47500828	16.0445	892
62.740182	53294912	16.3968	953
63.142806	58461596	15.8827	980
63.545808	62411600	18.0496	911
64.035546	70011384	17.4258	791
64.62216	52678484	16.2962	933
65.027154	58164960	16.1869	969
65.581284	51490092	16.5115	893
65.911152	47900676	16.1363	873
66.315894	54557200	16.859	915
66.645396	46370988	16.6143	827
66.973884	55546148	15.5673	964
67.303878	50062600	15.15	1005
67.633248	51541640	15.4935	964
67.963122	59260932	18.0205	939
68.293122	48864812	15.7716	925
68.697858	52901924	15.8636	922
69.1026	59688992	16.0542	1046
69.52647	57878600	14.8338	1048
69.85659	49210868	14.2121	1004
70.186596	53612648	16.5319	917
70.516458	55051760	15.9411	985
70.845954	50343336	15.4109	965
71.175582	49778208	16.3095	878
71.505444	51372376	16.726	913
71.835324	44348544	15.2209	886
72.165312	50382072	16.2907	914
72.57006	51426348	15.8912	954
72.993924	49138812	15.6627	916
73.32243	44798524	15.7286	819
73.6518	49956964	16.3382	901
73.981662	42469720	15.0392	885
74.311668	41490868	16.355	821
74.641032	47346980	16.2818	882
74.969526	60921964	17.1527	930
75.297396	51495548	16.0629	871
75.62727	43933552	14.6304	896
75.957138	44679036	15.4276	891
76.287264	46955548	16.2235	913
76.617132	46475956	16.5685	866
76.947012	41960432	16.0248	819
77.276874	43548560	15.1903	909
77.606748	49959628	17.0257	886
77.936364	44713124	14.9334	897
78.266358	44570004	15.595	867
78.596106	54233816	16.5743	979
78.926106	42254336	14.9131	893
79.25586	43177276	15.4045	857
79.585848	45918248	14.9399	932
79.915836	44790156	15.8071	856
80.245716	45001236	15.6805	857
80.575824	42526448	15.9182	835
80.905206	39951384	14.6064	854
81.234576	40769912	14.9604	862
81.56457	44351224	15.5948	880
81.894444	43695680	15.854	880
82.224438	39735588	16.1012	803
82.554432	46773940	17.1501	840
82.884558	56791900	17.2096	952
83.214426	52688460	16.2834	919
83.619414	44793636	15.951	881
84.047916	43401844	15.1214	826
84.37791	51861096	16.4985	935
84.707772	41295120	15.7061	836
85.037646	45131836	15.5904	899
85.367514	49107312	16.583	886
85.69752	43671068	15.9551	887
86.027382	51309488	16.5695	886
86.357262	54595360	16.1958	939
86.68713	57339492	16.8082	973
87.091872	52580508	15.7111	964
87.518118	47280204	16.1596	893
87.848238	52582072	15.9367	947
88.178112	46279288	14.8571	928
88.5081	41194456	14.4191	857
88.83798	57416908	15.917	999
89.167974	42336824	16.6396	786
89.497842	55025644	15.5391	975
89.827704	46715512	16.1624	888
90.157584	58170384	17.5661	906
90.487572	49809596	15.8997	919
90.817074	52369880	17.1719	844
91.147062	52399172	17.319	850
91.476558	58795516	17.2919	977
91.806432	53419476	16.3813	927
92.136426	45820456	15.8941	886
92.46642	51235800	15.783	956
92.87142	49169960	15.4215	947
93.423414	45889940	15.2356	918
93.828528	45826092	16.752	835
94.233408	43601352	15.7208	832
94.789518	43565044	16.8033	787
95.194398	47528764	15.3827	915
95.690004	47130080	15.9559	890
96.094752	55293604	17.2864	918
96.645618	40662116	15.4525	815
96.975492	48942052	17.3073	886
97.305486	49906396	16.0704	887
97.63536	41438420	17.013	765
97.965228	46110980	17.3758	835
98.295108	49055848	17.1217	861
98.624964	54194672	16.908	947
98.95497	40403604	14.8622	852
99.284832	43119436	15.9482	819
99.614832	42964144	16.6075	804
99.944952	35293512	15.3531	749
100.27482	44434520	15.6441	868
100.679694	42469224	15.9611	813
101.108934	44316064	16.2869	823
101.438808	43610624	15.1072	900
101.768928	38839744	14.5783	799
102.098796	44098140	15.0933	900
102.42879	44206760	15.9488	845
102.758664	40686828	15.0034	855
103.088532	48223940	15.417	937
103.418406	56468724	18.0333	861
103.748526	39868172	16.0312	801
104.078406	49458340	15.274	964
104.408394	60485504	17.0324	984
104.738262	53302444	17.3854	890
105.234006	39669484	16.4507	789
105.65625	50874524	16.0397	910
105.98625	47239492	16.3228	841
106.316238	51203192	15.9683	926
106.646118	52136016	17.0971	917
106.975986	55390644	16.9984	916
107.30598	50337976	15.1734	978
107.635848	38739220	15.1943	808
107.965728	49063428	14.779	939
108.294348	58112472	17.8158	897
108.69921	41147600	15.3671	826
109.126332	45343000	15.3931	893
109.4562	53053684	16.6825	941
109.77957	76449552	17.9056	873
110.10945	48355456	14.9458	963
110.439312	46112612	14.6753	957
110.844312	43521464	14.0692	948
111.17406	36359312	15.1229	798
111.503934	42592848	15.8216	840
111.833802	49857956	17.0644	836
112.163166	48270884	15.6417	919
112.567908	44848420	16.2231	865
112.89753	42539572	15.1608	892
113.227026	43140144	15.5946	837
113.55702	43543960	15.0971	909
113.887026	45118184	15.0324	880
114.21639	46929768	15.1222	933
114.546258	44220312	15.0161	887
114.951012	49756380	16.9238	874
115.280622	50146236	16.5063	896
115.610496	50102588	16.1566	912
116.015244	41160316	15.7744	817
116.344986	41254448	16.6575	783
116.673354	60331076	18.081	921
117.00336	50162600	16.2929	880
117.333354	48292024	14.8869	965
117.663222	38668248	14.7059	816
117.99321	44117336	15.1829	907
118.32309	50029328	16.5818	909
118.653078	48577584	16.882	892
118.982958	48012788	15.7996	912
119.31282	49865400	15.1255	955
119.642694	51197004	16.0924	929
119.972568	52386832	16.6363	906
120.302556	41097780	15.7673	807
120.63243	47446564	15.9256	911
120.96255	44625400	15.5475	849
121.292418	48025924	16.2798	897
121.622292	49549328	16.593	924
121.952298	52276828	16.8599	907
122.281788	49948708	15.677	919
122.611788	46444348	15.8898	895
122.941776	50164872	16.5384	884
123.347142	40394724	16.3859	815
123.776016	42830200	16.3556	826
124.18101	45144968	15.8804	872
124.585764	52360808	16.6806	905
125.082246	49811452	15.7387	928
125.486994	49468376	17.3324	872
125.915112	48184868	16.8328	863
126.245238	46273536	15.559	917
126.574602	50600368	15.8977	943
126.979602	45536084	15.3547	881
127.38447	44654240	15.6062	879
127.880838	40388164	15.128	854
128.21046	42831760	16.208	813
128.540454	42080560	14.9928	877
128.870328	41118036	14.2974	882
129.200322	42382752	15.295	877
129.530316	39127604	16.2313	755
129.860316	44977044	14.7712	893
130.190184	44327280	15.3324	899
130.51956	41535800	14.9122	859
130.849422	45215640	15.7202	875
131.179422	42284076	15.1551	846
131.509542	56902980	16.628	953
131.91441	48913952	16.3704	883
132.4644	46263296	15.086	886
132.794148	41660436	15.0484	873
133.124268	40272720	15.5334	821
133.454268	54017212	16.4445	916
133.78413	46299364	15.2679	900
134.113512	59833772	16.4535	1014
134.443374	45737888	15.106	939
134.773248	39044400	15.4491	813
135.103242	45246156	15.5403	878
135.433242	51970524	16.1565	904
135.763104	49657220	15.4281	955
136.093224	46340312	16.0848	874
136.423098	42759736	15.7614	827
136.753092	42715708	15.1462	881
137.082972	44485100	15.4925	872
137.413086	42519920	15.3532	835
137.743086	51809004	16.4217	927
138.0732	44438780	16.4464	824
138.40308	50014588	16.1461	937
138.7302	75690344	18.1108	973
139.060194	44775108	13.259	964
139.555938	51576108	16.5184	903
139.985184	66486604	16.4884	1066
140.312922	71038744	16.3526	1049
140.64294	65587264	16.6131	1030
140.97279	50187452	14.5869	1009
141.377802	65254072	16.5695	1038
141.782658	59816812	15.9938	1007
142.187532	54737028	14.3651	1020
142.736262	60904856	15.5337	1022
143.13714	68378728	14.1278	1036
143.541132	66352252	14.5367	1080
143.96625	59457732	14.8865	1108
144.296244	60709300	14.068	1149
144.626118	54431048	14.8446	1027
144.956112	57852116	15.5159	1026
145.360854	52971668	15.2663	1002
145.69086	54669004	15.6496	982
146.020722	44485512	14.5051	926
146.425596	47566996	15.7367	910
146.755344	50700796	14.5325	985
147.084708	45735964	15.0138	923
147.414084	49327000	14.8429	994
147.743454	53359988	16.5152	907
148.072818	45196444	15.5313	891
148.402818	51827084	16.031	915
148.80756	53629084	16.2716	934
149.137314	42738140	15.1537	889
149.467182	46484696	15.4874	919
149.79717	48958592	15.3088	907
150.126924	51361872	16.4979	901
150.456792	40005264	14.6751	831
150.786786	45342728	15.3374	876
151.11678	55556024	16.121	1016
151.446648	47457176	14.7741	966
151.776522	44652672	15.2186	931
152.106402	44733036	15.6754	882
152.436264	45890032	15.4194	920
152.766144	45289828	14.8805	887
153.096264	45794016	14.5065	992
153.426132	43241828	15.5614	878
153.831	52034600	15.9039	939
154.255248	45935380	15.5835	883
154.659984	52573280	16.1093	962
155.064726	51627388	16.0422	965
155.469474	45063400	15.108	863
156.017214	44086272	15.006	876
156.347094	45035020	15.112	901
156.677082	43631564	15.2651	854
157.006962	37660520	14.4309	837
157.411698	38836980	14.4404	865
157.816578	40820748	13.9952	887
158.312322	42830028	14.8994	853
158.641818	41942380	15.099	855
158.971674	41835696	14.8026	866
159.301932	46023852	15.7511	906
159.631794	56162092	17.491	938
159.961788	46010196	14.9496	929
160.29192	65067412	18.7398	912
160.621788	50402768	15.2324	1001
160.951776	46449804	14.433	940
161.538144	45776832	15.5314	915
161.868018	44502904	15.3596	900
162.197388	51318480	15.5525	973
162.527262	43793580	15.1956	908
162.932124	54451084	16.4426	959
163.261872	43379800	15.2175	887
163.591752	40326816	15.0679	839
163.921494	41249540	14.8704	851
164.251356	44587816	14.946	916
164.581362	55878356	16.3564	952
164.91135	56999208	16.6329	982
165.24135	51949004	15.841	953
165.571218	50241212	16.5107	893
165.90135	42200228	16.1452	800
166.231332	47037160	15.4791	942
166.561344	51082644	15.5012	974
166.891206	50534348	15.6565	897
167.22108	46439652	15.2126	877
167.550948	44889136	15.3244	885
167.880816	49306776	15.3667	937
168.210804	52908336	16.9146	913
168.54081	43594400	14.8542	885
168.870798	47514920	15.4289	924
169.200678	39184112	15.0843	827
169.530786	46708600	15.5734	893
169.860792	48124344	15.4971	906
170.190654	49714876	16.109	925
170.520534	42716344	15.351	837
170.850396	42226940	14.3742	888
171.255264	42293780	14.4669	890
171.68889	39461444	14.5421	891
172.018764	43111864	15.292	869
172.348638	55086052	16.6361	913
172.678506	63316632	17.2382	1033
173.008374	46116616	15.0894	910
173.337744	59060316	15.4297	1024
173.667738	57134556	16.4286	957
173.997612	53475656	14.6424	1038
174.326976	50056292	14.7995	1009
174.732096	56159116	16.6236	936
175.16097	45932200	14.5167	938
175.49085	40504236	15.0637	861
175.820838	43687284	15.0321	849
176.150208	47008668	15.0285	906
176.480076	48695596	15.448	1000
176.810076	41302756	14.0335	922
177.13995	41638368	14.7411	838
177.544686	50446080	15.5462	947
177.96918	49284852	15.5234	924
178.299054	41027052	14.4187	867
178.629048	42807424	15.02	897
178.958922	51360624	16.253	931
179.28891	42378224	15.4507	877
179.618784	47182644	15.6994	940
179.948652	55359280	16.2953	951
180.278532	49340820	15.3524	918
180.6834	40175696	14.093	882
181.113264	38344100	15.2553	819
181.443138	53287624	16.2358	931
181.773252	44690616	15.7446	844
182.103258	45348632	14.9014	952
182.433246	44753280	15.4374	879
182.76312	45447820	15.0277	888
183.09261	47003732	15.7858	893
183.422484	43960356	15.8199	870
183.752352	46319600	14.8644	930
184.082346	42607912	15.0144	873
184.48722	44580696	14.8861	899
185.033838	44440620	15.2024	866
185.438592	66978776	18.1504	955
185.84346	62594216	17.416	1017
186.391824	35970376	14.2191	799
186.796572	53810480	16.5144	925
187.126062	47841816	15.4408	903
187.456182	49235868	15.0924	917
187.86105	52049436	15.9346	925
188.265792	48063144	15.5053	888
188.762286	44127608	14.7257	904
189.167166	41168616	13.9636	924
189.594654	49538808	15.1336	937
189.924528	35490964	15.166	783
190.254642	45314920	16.3742	852
190.584516	41445708	14.4682	871
190.914384	38799576	15.5542	792
191.244252	40301644	14.3121	896
191.649	44767824	15.5753	865
191.978748	48328700	15.5571	931
192.308364	45697560	15.5823	884
192.637746	44944884	15.6081	856
192.96711	40569444	15.1183	866
193.29699	41031588	15.2057	866
193.701726	43061528	15.3878	857
194.031096	40427340	14.3633	883
194.360598	40392964	14.6579	866
194.69046	38942136	14.9864	826
195.02034	42014912	15.3181	846
195.350082	50060460	15.2243	967
195.679956	48659168	15.2309	945
196.00995	49132144	14.7485	1014
196.339812	45926828	15.6041	867
196.74468	41128084	14.6481	827
197.16906	42593916	15.6338	853
197.499048	44435272	15.1459	896
197.828916	53821848	16.2333	949
198.15879	44388284	15.7735	840
198.488784	55351420	16.2048	967
198.818916	54262744	16.4889	939
199.148652	58304988	17.1898	1021
199.478646	42560236	15.1995	894
199.80864	48339604	15.1492	934
200.13852	45907420	14.8153	900
200.468508	48453344	16.1782	863
200.798388	53761828	15.9703	955
201.128376	65169792	17.6725	997
201.45837	56763940	15.3103	1034
201.788244	39714748	14.4992	858
202.118238	49753460	14.0289	1050
202.448232	49681744	14.5576	986
202.778232	42272064	14.5534	861
203.183598	46474404	15.2284	862
203.611476	50750004	15.5825	944
203.941338	48331556	15.6008	913
204.271464	47389464	14.7544	935
204.601458	48851368	14.5795	961
204.931332	50517984	15.1443	957
205.261194	49069100	14.6816	983
205.5912	44381260	14.8896	889
205.921314	40789684	14.346	949
206.251194	52394780	15.153	925
206.65593	47244964	14.844	950
207.081546	43587132	13.7176	937
207.411426	56208268	16.3054	959
207.74142	49975304	15.5677	899
208.146168	47880164	15.1352	897
208.476162	49559864	14.8963	969
208.806036	48765604	14.5847	969
209.136024	43485948	13.9724	939
209.465898	41099000	14.9109	862
209.795886	53142428	15.3292	966
210.199386	67346976	15.7682	1066
210.603378	67879456	17.3917	1008
211.008126	50961888	13.6996	1079
211.55538	49752048	13.6626	1023
211.960242	52010984	15.1179	995
212.289978	49559332	15.1213	923
212.619984	45789456	15.1895	919
212.949348	43433924	13.9306	929
213.278724	56398916	15.5525	984
213.60834	44357952	14.2499	923
213.937842	47437776	15.4115	882
214.267956	48524336	14.937	943
214.597326	54245676	15.8606	941
215.002194	47238476	15.6903	901
215.549694	45754560	14.5591	943
215.95443	55950800	16.0393	970
216.359178	41760536	15.2087	846
216.783678	56267076	15.5266	1000
217.113666	55268804	16.1579	958
217.443798	43185636	14.4346	896
217.848786	48713212	15.1125	938
218.253534	46519028	14.0191	949
218.65827	53229656	14.8732	1027
219.204138	44920912	14.7158	890
219.609012	44208552	14.5217	896
219.938886	45069380	14.178	938
220.268874	42908204	14.3611	944
220.598748	42193352	14.5227	898
