MS:1000894_[sec]	MS:1000285
2.046909024	80563.797
30.18606912	116920420
49.9933296	106000400
69.7560696	109359450
86.9473836	661709.75
92.5345836	241034.42
97.979526	302976.94
103.4241048	290519.25
108.8919648	184257.88
114.336846	261008.92
119.7817848	541605.19
125.2938636	89215.516
130.8897036	75221.141
137.8099908	141175120
163.4911236	401168.19
168.9660648	133378.59
175.8570084	108100140
201.5002836	116027.7
208.5942708	111263460
225.785286	33177.133
232.8709896	126225620
250.0706448	56138.766
257.1709896	108632340
283.0699836	947729.44
290.1706884	109377030
307.3631436	122844.82
314.5003884	115320880
331.6932036	98802.539
338.7995496	120204770
364.239612	138472690
383.731884	158084830
403.546572	140924060
420.738408	450281.59
427.823784	111516390
447.61572	109880400
467.407944	112820370
484.607268	43631.309
491.700492	133216460
508.899708	73213.289
515.98476	108879970
533.177172	49838.406
540.26946	111970580
565.63452	110761920
585.442044	132843880
605.23398	111808200
625.03362	111693350
644.818032	117564830
664.60356	104010700
684.387504	105365290
704.18052	118554180
723.97206	117821310
743.75748	119685070
763.54902	118132010
783.35694	112377660
803.1492	101972350
822.911472	111919770
842.695524	128956750
862.488072	119578940
882.287892	106461310
902.087244	109407350
919.278792	114256.54
926.371872	112000270
951.74406	137047250
971.559	108510690
991.351764	108216200
1011.143232	114335320
1030.936032	114626640
1050.742692	117198330
1070.528004	114649850
1090.3122	116971440
1110.104532	111629280
1129.911732	107081070
1149.703992	120377050
1169.496252	111548380
1189.288404	111841500
1209.05082	132660580
1228.813452	108941980
1248.605604	120775120
1268.4051	137663360
1288.204704	127510340
1308.004452	135400240
1327.79664	104993890
1347.596352	163156400
1367.388612	112742380
1387.180872	119832140
1406.943612	118919580
1426.712832	102513080
1446.50556	103846690
1466.304912	105556950
1486.112544	105807120
1505.9043	106526280
1525.697064	109950340
1545.466824	114211000
1565.27352	129525250
1585.06578	115638980
1604.865492	102384410
1624.66524	106536780
1644.4575	109652900
1664.220204	114118920
1684.012392	110390900
1703.811744	112295630
1723.61178	119825650
1743.40368	117217320
1763.196372	120102910
1782.99576	109655230
1802.788272	108876400
1822.595184	96726552
1842.387804	99751592
1862.187264	105348940
1881.979992	111431440
1901.786652	112446460
1918.9782	704506.12
1926.07164	100374490
1951.707852	333796.56
1958.816412	113891480
1976.008068	218850.17
1983.1005	99201352
2000.292912	217412.33
2005.744572	292792.03
2012.838372	106644190
2030.029488	260694.22
2035.481688	229428.83
2040.927048	505719
2048.019732	112640340
2065.211748	91345.977
2072.312244	116074780
2098.323	820026.94
2105.40888	115981580
2125.193724	97692072
2144.985984	108990570
2164.785732	123262560
2184.585984	115661360
2201.777028	47360.715
2208.870072	117783940
2228.662872	125574660
2248.380144	154583230
2268.18684	122425800
2287.986552	126429430
2307.771324	129499320
2327.571	132478740
2347.36326	121302220
2364.5565	126462.94
2370.00726	37340.008
2376.96588	134761820
2394.164952	79398.789
2401.27254	118016660
2427.072624	120168540
2446.865064	108551420
2466.672192	97529536
2486.46456	136164560
2506.271904	113314520
2523.462912	115135.93
2530.571472	113527820
2547.762588	64110.254
2554.855992	125168190
2574.6408	111265160
2594.43306	107899570
2611.6317	56625.164
2618.71722	110135750
2638.502604	110012120
2658.249684	143303100
2678.011884	106056710
2697.80382	105535640
2717.610984	104355110
2737.403244	111350380
2757.195972	118105760
2776.86072	130053470
2794.059792	125165.05
2801.159964	120632540
2827.019412	143918540
2846.782404	106892970
2866.54392	107111010
2886.30666	125390590
2903.505552	96771.977
2910.621024	150103280
2930.40612	126246210
2950.198632	113705720
2970.005652	103785720
2989.76742	152051660
3006.95958	126158.45
3014.060004	109524900
3031.252308	100852.38
3038.254344	159951200
3055.45464	54287.66
3062.546892	117257090
3088.41354	107676780
3108.2058	106117330
3127.998132	134361860
3147.798132	125815480
3167.575092	116008900
3184.774092	839168.94
3191.860224	100442230
3211.629804	131088330
3231.38466	132333540
3251.14686	123771050
3270.94668	109525250
3290.716404	125484020
3310.47864	108463730
3330.24048	132852170
3350.032632	110737990
3369.824892	124064850
3389.549652	133132710
3409.349832	121910970
3429.14166	121471100
3448.93446	139079650
3466.125432	96299.062
3473.218944	100442770
3498.695712	129193550
3518.480772	131040420
3538.272852	116626730
3558.065544	121783010
3577.86504	107975550
3597.65748	110391890
3617.4492	105725260
3637.25676	110349380
3657.04884	107744970
3676.82652	142722540
3696.61824	129751240
3716.3358	142836720
3736.12824	142900740
3753.31968	726971.31
3760.4124	124475740
3786.21432	354466.22
3793.3074	96742984
3810.49992	235250.7
3817.61388	111190230
3834.80568	337155.94
3840.25824	176933.39
3847.3218	128146780
3864.51396	234255.78
3870.01116	583373.94
3877.0956	110647400
3903.16716	108708.49
3910.26096	123940560
3929.985	138124290
