MS:1000894_[sec]	MS:1000285	S/N	peak_count
0.06536687898	112353256	5.09675	786
0.433632288	149075424	3.58212	239
0.94834222302	153377968	3.90947	349
1.315209423	139262784	4.30702	379
1.67832542298	142624944	4.66483	459
2.04322870302	124354016	4.91211	638
2.486680383	119095024	5.3705	545
2.85517755102	121395552	5.21152	646
3.21891617502	113893800	5.22627	704
3.582285999	120290896	5.45343	704
3.948424494	110066048	5.45967	719
4.43502708702	120971224	5.29145	762
4.967005806	125114360	5.08955	724
5.43112729398	107980288	5.16431	747
6.224504862	111889488	5.69572	680
6.59696454198	126573936	5.55498	813
6.961491534	113018648	5.19857	760
7.464944862	111031632	5.5228	710
7.835063598	122436608	5.33761	732
8.20183017402	120165160	5.54807	703
8.708927262	120379040	5.34706	754
9.18053644602	113852120	5.47267	640
9.55089801402	118216584	5.26165	787
9.91702119798	117435304	5.85253	683
10.279004862	118724296	5.56457	757
10.642997199	127905520	5.44853	891
11.006990304	123364096	5.58606	763
11.372136336	122362680	5.33119	741
12.09836748702	125824224	5.58592	850
12.48250663998	116870576	5.47746	767
13.00694513502	119192304	5.92607	691
13.376937183	126105000	5.59195	733
13.74095297502	113832144	5.89007	765
14.22941890998	119453328	5.62385	772
14.600284206	137303728	5.58802	713
14.96289999798	119142848	5.92773	741
15.32692316802	124375336	5.96423	809
16.11079284798	111412864	5.76793	754
16.485144351	125170088	5.5413	727
17.260604175	120187168	5.75175	777
17.63424943902	125701752	5.64332	831
18.09472151898	116490264	6.31589	700
18.596075343	121153088	5.47582	786
19.104923391	111124936	5.81275	735
19.47479833602	118689592	5.55319	786
19.83878766402	116438120	5.54575	835
20.205158079	125291832	5.81945	717
20.56918127898	114681688	5.87485	734
21.08638495902	114117488	5.81531	712
21.45725115102	114429480	5.93399	706
21.82139476602	120369456	5.65791	762
22.35985641402	122353832	5.61607	687
22.73076103998	124453064	6.02712	755
23.54398968	120965072	5.26345	893
23.91982087998	120646112	6.11627	793
24.28408673502	125857528	5.89495	814
24.786422367	115883392	5.7911	726
25.15729603098	128747312	5.84949	758
25.52078321598	126364080	5.97451	820
25.88665150398	123190464	5.92026	829
26.25066689598	122884960	5.92248	796
26.758389615	113459808	5.92427	701
27.239871408	114810048	6.0851	785
27.610613136	125000320	6.11853	639
27.97610667198	120754504	5.82482	793
28.35012455898	126176584	6.24645	793
28.83846689502	121571864	6.18443	854
29.21049110298	122023352	6.28092	767
29.68019249502	113954752	5.87322	747
30.05343270198	119320904	5.7442	774
30.41732571	126880560	6.22368	832
30.89440927902	125412728	5.86506	817
31.265155152	125562152	5.85629	835
