MS:1000894_[sec]	MS:1000285
3.9282336	104965488
26.75193984	122969040
28.2141312	111345.406995773
45.75473088	101946.595329285
58.47468384	257459.875
59.60700762	190103.640625
71.4031584	119331.920688629
86.26843776	134880.125539064
98.62138368	45551.125
99.75229056	422865.5625
111.57940704	99638.6170320511
128.73233568	74946.0807967186
140.86094208	381214.875
141.98380314	236092.53125
159.6559353	106724392
182.04875034	118839696
203.89707546	115113328
205.23720576	92419.1691732407
220.02775098	68907.1355996132
234.80329626	69536.1875
235.92705498	33414.140625
253.60533882	105784232
254.9617593	76320.7231485844
269.1895161	30766.25
287.01092442	99588608
288.5709897	98320.9524879456
298.89648288	42252.359375
316.7613369	102761136
318.31460256	93970.976685524
333.24537312	44243.578125
351.08900736	100764776
352.64218554	88201.7648034096
365.83872474	101695.359834671
379.6548768	55847.171875
380.77830714	62246.484375
392.61361728	100115.67023468
401.44818816	40755.78125
419.24871072	100702520
441.66421632	110931280
443.0123136	50150.6504058838
454.25545152	33672.53125
471.93244224	100973376
473.30544954	79905.0922269821
480.87865632	41816.40625
498.68419386	106473824
500.24648634	98188.5750045776
517.48189152	61261.173915863
530.07161088	136455.734375
531.1951593	33492.21875
548.845272	95663664
550.22251674	69356.1042861938
562.69522656	28891.0625
580.59062688	95379456
581.96374074	61021.0660669804
594.39634848	213837.515625
612.07387392	98052712
634.29081792	97315696
635.66027898	91135.7834825516
643.58035098	37961.8125
661.40088762	106740824
662.9772288	79350.9828550816
675.9125472	42247.03125
693.79225722	100240504
695.17475328	115439.186460495
704.87689536	34720.015625
722.72665146	98337744
724.10693754	115751.817214966
732.97842528	46229.734375
750.82907712	96181048
752.40553728	77523.784119606
767.27550336	30642.46875
785.12556666	97550768
786.5089536	95549.2173063755
800.44706778	324697
818.26735482	100601096
840.67758042	86463184
842.05539738	91191.2540755272
859.37794362	98627.4398225546
872.0863401	213489.84375
873.21055002	34962.203125
890.8359129	92085944
892.2073401	76260.8466687202
904.98794106	76402.25
922.83640896	87847192
945.87089952	101070416
947.25582336	86490.8861215115
958.95563802	193253.6875
976.75386138	99456584
978.3324009	99528.5468411446
989.82523866	76814.275103569
1003.4908329	57087.40625
1004.61500442	39292.796875
1022.29200858	86923376
1044.67161594	97097160
1066.63252986	92972184
1068.01122906	117209.767820835
1077.7916265	233854.578125
1095.63317466	100834480
1118.53178394	92712544
1119.91038138	112759.353825092
1136.01296346	69114.8051712513
1150.75728474	51875.859375
1151.88142458	29934.359375
1169.56071066	91255168
1192.13468826	92381352
1193.5275657	114412.705202103
1204.18623642	265477.4375
1222.02800634	98492864
1223.60524314	69441.4932205677
1238.18205882	23993.046875
1256.0392905	91584624
1278.34538874	84802792
1279.71551418	77503.8931474686
1292.62424154	201000.21875
1310.48061306	87076928
1332.75660384	100652024
1334.13434496	121228.479946136
1348.87931034	73188.7620382309
1362.42517824	50907
1363.54886496	87801.203125
1381.22146938	97903968
1382.59941018	92215.0362570286
1395.79190592	30613.96875
1413.67870362	94495120
1415.27503488	82450.9192485809
1423.76525754	33606.828125
1441.615632	94307112
1443.01939482	68410.4601883888
1455.34707648	92981.5365447998
1469.46266976	46831.640625
1470.60170592	54139.859375
1482.42884448	70004.6405916214
1493.11637754	77842.484375
